sample_id,frequency_hz,candidate,candidate_method,config,solver,sensor_count,measurement_channels,equivalent_source_points,unknown_count,channel_unknown_ratio,l2_lambda,group_alpha_frac,effective_rank,rank_ratio,stable_condition,solver_iterations,solver_converged,solver_rel_change,lambda_max,group_lambda,lipschitz,relative_residual,active_sources,active_fraction,peak_source_norm,peak_x_m,peak_y_m,peak_z_m,peak_center_distance_m,center_energy_share,nmse,correlation,main_lobe_error_deg,peak_error_db
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,1e-05,0.3,135,1.0,185.92676953422503,127,1,8.598227160949518e-07,0.0009078708031829954,0.0002723612409548986,7.19725364004572,0.8103547704194795,2,0.044444444444444446,0.0008539004797252877,0.0,0.0,4.25,0.25,0.0,0.08111426735176493,0.9283174190131462,12.25884052248697,14.1284320094182
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,1e-05,0.1,135,1.0,185.92676953422503,180,1,6.77386738909752e-07,0.0009078708031829954,9.078708031829955e-05,7.19725364004572,0.7117764776065594,25,0.5555555555555556,0.0010695614790742773,0.0,0.0,4.25,0.25,0.06686544718872724,0.22706558770208604,0.8299864424651926,30.28041190907445,18.069009321598443
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,1e-05,0.03,135,1.0,185.92676953422503,428,1,5.324115172900596e-07,0.0009078708031829954,2.7236124095489864e-05,7.19725364004572,0.6282030885277595,39,0.8666666666666667,0.0012121044764862882,0.0,0.0,4.25,0.25,0.058387104306446176,0.3257600927481334,0.7672623642171911,20.499408113075603,19.782852026012883
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,1e-05,0.01,135,1.0,185.92676953422503,500,0,5.907309151508144e-05,0.0009078708031829954,9.078708031829955e-06,7.19725364004572,0.5962014100006524,45,1.0,0.0014555273719976062,0.0,0.0,4.25,0.25,0.03540575652937721,0.3397333129740884,0.7672955942249233,59.94038432733143,20.306545054089284
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,1e-05,0.003,135,1.0,185.92676953422503,500,0,0.0003286925017606835,0.0009078708031829954,2.7236124095489863e-06,7.19725364004572,0.5666380885072622,45,1.0,0.0018221255340361672,0.0,0.0,4.25,0.25,0.01647839906414793,0.3335404104313571,0.7876887280955893,69.95112855114232,20.803210868304028
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,1e-05,0.001,135,1.0,185.92676953422503,500,0,0.0003972028526899624,0.0009078708031829954,9.078708031829954e-07,7.19725364004572,0.5614885687927235,45,1.0,0.002012336783396951,0.0,0.0,4.25,0.25,0.015276128663476942,0.32655622556566694,0.7920412770341053,109.90036842753926,21.077625475930688
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,1e-05,0.0003,135,1.0,185.92676953422503,500,0,0.0004065314024024314,0.0009078708031829954,2.723612409548986e-07,7.19725364004572,0.5607827648452864,45,1.0,0.0022062924693363444,0.0,0.0,4.25,0.25,0.01795606704193785,0.32178806332603943,0.792405810688992,109.90036842753926,21.16375459369012
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,1e-05,0.0001,135,1.0,185.92676953422503,500,0,0.0007231502562780403,0.0009078708031829954,9.078708031829955e-08,7.19725364004572,0.5607119568219072,45,1.0,0.0022793980702354097,0.0,0.0,4.25,0.25,0.01993255199648223,0.3202237269871974,0.7924115527024069,109.90036842753926,21.18669138588779
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,tikhonov,162,324,45,135,2.4,0.0001,0.0,135,1.0,185.92676953422503,0,1,0.0,0.20511018093467326,0.0,,0.550980106033144,45,1.0,0.5165584109492806,0.0,0.0,4.25,0.25,0.01919741663788411,0.29838113661240345,0.8201047927728131,69.95112855114229,20.828357565733103
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,0.0001,0.3,135,1.0,185.92676953422503,135,1,8.432634660767199e-07,0.20511018093467326,0.061533054280401976,7.1973436400457205,0.8091375655515088,2,0.044444444444444446,0.19217446655444578,0.0,0.0,4.25,0.25,0.0,0.03430450176669276,0.958566682990647,152.70142692289906,13.282395071051884
