sample_id,sensor_id,node_id,prior_id,surface_type,x_m,y_m,z_m,radius_m,theta_deg,phi_deg,local_radius_m,normal_x,normal_y,normal_z,tangent1_x,tangent1_y,tangent1_z,tangent2_x,tangent2_y,tangent2_z,weight_m2,cst_probe_field,cst_coordinate_system,workflow_role,source_center_x_m,source_center_y_m,source_center_z_m,source_family_role
L1_short_dipole_x_1p2G,13,13,level1_local_sphere_r0p35,sphere,0.237668202016,-0.0522506875014,4.2515625,4.25852086997,3.27582846313,347.600932651,0.34989520248,0.679052005759,-0.149287678576,0.71875,0.214719429041,0.976675773628,-0.0,-0.701985712295,0.154329589623,0.695268608165,0.0160352125027,efield,Cartesian,local_huygens_surface_observation,0,0,4,orientation_x_short
L1_short_dipole_x_1p2G,14,14,level1_local_sphere_r0p35,sphere,-0.144163462072,0.205057689897,4.24427083333,4.25166633999,3.37990879784,125.108696701,0.349930034347,-0.41189560592,0.585879113993,0.697916666667,-0.81806243022,-0.57512942914,0.0,0.401392414087,-0.570939404424,0.716178976506,0.0160352125027,efield,Cartesian,local_huygens_surface_observation,0,0,4,orientation_x_short
L1_short_dipole_x_1p2G,15,15,level1_local_sphere_r0p35,sphere,-0.0331001415477,-0.255431507836,4.23697916667,4.2448007413,3.4787464982,262.616460751,0.350217457359,-0.0945718329936,-0.729804308104,0.677083333333,0.991708123697,-0.128510689799,0.0,0.0870124462181,0.671469042087,0.735906352549,0.0160352125027,efield,Cartesian,local_huygens_surface_observation,0,0,4,orientation_x_short
L1_short_dipole_x_1p2G,16,16,level1_local_sphere_r0p35,sphere,0.201936333078,0.170192155303,4.2296875,4.23792402008,3.57275546071,40.1242248006,0.349745301905,0.576960951652,0.486263300866,0.65625,-0.644446982884,0.764648995456,0.0,-0.501800903268,-0.422918332518,0.754543529228,0.0160352125027,efield,Cartesian,local_huygens_surface_observation,0,0,4,orientation_x_short
L1_short_dipole_x_1p2G,17,17,level1_local_sphere_r0p35,sphere,-0.270028520695,0.0111665270975,4.22239583333,4.23103612211,3.66228659458,177.631988851,0.350156571926,-0.771510059128,0.0319043631356,0.635416666667,-0.0413178261974,-0.999146054007,0.0,0.63487405515,-0.0262540353962,0.772169450135,0.0160352125027,efield,Cartesian,local_huygens_surface_observation,0,0,4,orientation_x_short
L1_short_dipole_x_1p2G,18,18,level1_local_sphere_r0p35,sphere,0.195706501571,-0.194754108366,4.21510416667,4.22413699273,3.74764010473,315.139752901,0.350030839323,0.55916143306,-0.556440309618,0.614583333333,0.705379941179,0.708829414303,-0.0,-0.435634744207,0.433514755517,0.788851903965,0.0160352125027,efield,Cartesian,local_huygens_surface_observation,0,0,4,orientation_x_short
L1_short_dipole_x_1p2G,19,19,level1_local_sphere_r0p35,sphere,-0.0130087745601,0.281326743535,4.2078125,4.21722657679,3.8290748289,92.6475169507,0.34979095193,-0.0371679273145,0.803790695815,0.59375,-0.998932605495,-0.0461914459404,0.0,0.0274261710271,-0.593116234513,0.804649574349,0.0160352125027,efield,Cartesian,local_huygens_surface_observation,0,0,4,orientation_x_short
L1_short_dipole_x_1p2G,20,20,level1_local_sphere_r0p35,sphere,-0.183796880538,-0.220250089907,4.20052083333,4.21030481873,3.90681544852,230.155281001,0.350282373952,-0.525133944394,-0.629285971162,0.572916666667,0.767783688001,-0.640709144964,0.0,0.367072947635,0.43987607125,0.81961362425,0.0160352125027,efield,Cartesian,local_huygens_surface_observation,0,0,4,orientation_x_short
L1_short_dipole_x_1p2G,21,21,level1_local_sphere_r0p35,sphere,0.289219949579,0.0389141351564,4.19322916667,4.20337166253,3.98105813635,7.66304505078,0.349793291979,0.826342713082,0.111183243304,0.552083333333,-0.13334698776,0.991069412733,0.0,-0.547152904946,-0.0736186494927,0.833788937955,0.0160352125027,efield,Cartesian,local_huygens_surface_observation,0,0,4,orientation_x_short
L1_short_dipole_x_1p2G,22,22,level1_local_sphere_r0p35,sphere,-0.24340525432,0.169355036132,4.1859375,4.19642705167,4.05197503566,145.170809101,0.350018254998,-0.69544358377,0.483871531806,0.53125,-0.571131850481,-0.820858336966,0.0,0.436080991513,-0.303413795568,0.847215106983,0.0160352125027,efield,Cartesian,local_huygens_surface_observation,0,0,4,orientation_x_short
L1_short_dipole_x_1p2G,23,23,level1_local_sphere_r0p35,sphere,0.0660583014145,-0.293635772764,4.17864583333,4.1894709292,4.11971785227,282.678573151,0.350186347929,0.188738004041,-0.838959350755,0.510416666667,0.975616691408,0.219481369246,-0.0,-0.112026948886,0.497971019573,0.859927221565,0.0160352125027,efield,Cartesian,local_huygens_surface_observation,0,0,4,orientation_x_short
