sample_id,priority,cst_project,source_type,source_role,orientation_axis,frequency_hz,frequency_label,center_x_m,center_y_m,center_z_m,orientation_x,orientation_y,orientation_z,length_m,feed_gap_m,start_x_m,start_y_m,start_z_m,end_x_m,end_y_m,end_z_m,relative_amplitude,relative_phase_deg,nearfield_monitor,farfield_monitor,nearfield_export,farfield_export,phase_format_nearfield_export,phase_format_farfield_export,expected_nearfield_rows,expected_farfield_rows,boundary_condition
L1_short_dipole_z_1p2G,required,CST_L1_short_dipole_z_1p2G.cst,short_dipole,short_dipole_z_reference,z,1200000000,1200MHz,0.0,0.0,4.0,0.0,0.0,1.0,0.0124913524166666,0.0006245676208333,0.0,0.0,3.993754323791667,0.0,0.0,4.006245676208334,1.0,0.0,nearfield_hemisphere_1200MHz,farfield_1200MHz,data/cst_exports/level1/L1_short_dipole_z_1p2G_nearfield.csv,data/cst_exports/level1/L1_short_dipole_z_1p2G_farfield.csv,data/cst_exports/level1/L1_short_dipole_z_1p2G_nearfield_phase.csv,data/cst_exports/level1/L1_short_dipole_z_1p2G_farfield_phase.csv,486,2664,Open/Add Space or PML
L1_halfwave_dipole_z_1p2G,required,CST_L1_halfwave_dipole_z_1p2G.cst,halfwave_dipole,halfwave_dipole_z_reference,z,1200000000,1200MHz,0.0,0.0,4.0,0.0,0.0,1.0,0.1249135241666666,0.002,0.0,0.0,3.9375432379166666,0.0,0.0,4.062456762083333,1.0,0.0,nearfield_hemisphere_1200MHz,farfield_1200MHz,data/cst_exports/level1/L1_halfwave_dipole_z_1p2G_nearfield.csv,data/cst_exports/level1/L1_halfwave_dipole_z_1p2G_farfield.csv,data/cst_exports/level1/L1_halfwave_dipole_z_1p2G_nearfield_phase.csv,data/cst_exports/level1/L1_halfwave_dipole_z_1p2G_farfield_phase.csv,486,2664,Open/Add Space or PML
