sample_id,frequency_hz,variant,variant_family,impedance_ohm,impedance_factor_to_eta0,calibration_mode,hfield_j_scale,uses_real_hfield,model_note,sensor_count,farfield_points,farfield_shape,electric_current_l2,magnetic_current_l2,predicted_peak_power,reference_peak_power,best_power_scale,scaled_power_nmse,nmse,correlation,main_lobe_error_deg,peak_error_db,main_lobe_region_threshold,reference_lobe_region_points,predicted_lobe_region_points,main_lobe_region_jaccard,reference_lobe_region_capture,predicted_lobe_region_precision,main_lobe_region_min_capture,true_peak_to_pred_region_error_deg,pred_peak_to_true_region_error_deg,main_lobe_region_error_deg,status
L1_short_dipole_x_1p2G,1200000000.0,eh_love_equivalence_minus,eh_love_equivalence_minus,376.730313668,1.0,real_eh_surface_currents,1.0,True,"J=1*(n_cross_H_t) from real CST H-field, M contribution sign flipped for convention check",96,2664,37x72,0.00015795853703871578,0.058523422465665914,1.315662077966428e-06,3.9429401543613114e-08,0.031037410882175688,0.0008179603314047596,0.0020014094049871506,0.9966187532119293,66.97419086953342,15.233241715325605,0.75,1678,1590,0.9440809042236764,0.9550079866423905,0.9984346816377216,0.9550079866423905,0.0,0.0,0.0,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,outgoing_equivalence_minus,outgoing_equivalence_minus,376.730313668,1.0,fixed_eta0,,False,"J=-E_t/eta_eff, eta_eff=376.73 ohm, M sign flipped",96,2664,37x72,0.00015534566861863538,0.058523422465665914,1.3157606295698202e-06,3.9429401543613114e-08,0.031035800011600098,0.000819399072386655,0.0020043743806055464,0.9966129657834086,69.35253715221852,15.233567017812607,0.75,1678,1590,0.9440809042236764,0.9550079866423905,0.9984350068845628,0.9550079866423905,0.0,0.0,0.0,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,magnetic_only_plus,magnetic_only_plus,376.730313668,1.0,not_used,,False,"J=0, M=-n_cross_E_t; eta_eff not used",96,2664,37x72,0.0,0.058523422465665914,1.3157315467087314e-06,3.9429401543613114e-08,0.031037463843929688,0.0008197106839517474,0.002006779979615496,0.9966115538814777,69.35253715221852,15.233471022649079,0.75,1678,1590,0.9440809042236764,0.9550079866423905,0.9984348802048221,0.9550079866423905,0.0,0.0,0.0,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,magnetic_only_minus,magnetic_only_minus,376.730313668,1.0,not_used,,False,"J=0, M sign flipped; eta_eff not used",96,2664,37x72,0.0,0.058523422465665914,1.3157315467087314e-06,3.9429401543613114e-08,0.031037463843929688,0.0008197106839517474,0.002006779979615496,0.9966115538814777,69.35253715221852,15.233471022649079,0.75,1678,1590,0.9440809042236764,0.9550079866423905,0.9984348802048221,0.9550079866423905,0.0,0.0,0.0,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,outgoing_equivalence_plus,outgoing_equivalence_plus,376.730313668,1.0,fixed_eta0,,False,"J=-E_t/eta_eff, eta_eff=376.73 ohm, M=-n_cross_E_t",96,2664,37x72,0.00015534566861863538,0.058523422465665914,1.315775684040712e-06,3.9429401543613114e-08,0.031038988711777613,0.0008201714551406419,0.0020127446030794322,0.9966095310598826,66.97419086953342,15.233616707977266,0.75,1678,1590,0.9440809042236764,0.9550079866423905,0.9984347540075136,0.9550079866423905,0.0,0.0,0.0,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,eh_love_equivalence_plus,eh_love_equivalence_plus,376.730313668,1.0,real_eh_surface_currents,1.0,True,"J=1*(n_cross_H_t) from real CST H-field, M=-n_cross_E_t from real CST E-field",96,2664,37x72,0.00015795853703871578,0.058523422465665914,1.315816578870242e-06,3.9429401543613114e-08,0.03103737695100663,0.0008215667161389536,0.0020127489647129107,0.9966039190261092,69.35253715221852,15.233751686325203,0.75,1678,1590,0.9440809042236764,0.9550079866423905,0.998435079057621,0.9550079866423905,0.0,0.0,0.0,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,eh_love_equivalence_minus_j96,eh_love_equivalence_minus,376.730313668,1.0,real_eh_j_scale_scan,96.0,True,"J=96*(n_cross_H_t) from real CST H-field, M contribution sign flipped for convention check",96,2664,37x72,0.015164019555716713,0.058523422465665914,1.3914901433399877e-06,3.9429401543613114e-08,0.030407936051520937,0.001118942244285282,0.005756094521776693,0.9953722660993981,19.11111099999998,15.47659948908229,0.75,1678,1516,0.9034564958283671,0.918569147872869,1.0,0.918569147872869,0.0,0.0,0.0,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,eh_love_equivalence_plus_j96,eh_love_equivalence_plus,376.730313668,1.0,real_eh_j_scale_scan,96.0,True,"J=96*(n_cross_H_t) from real CST H-field, M=-n_cross_E_t from real CST E-field",96,2664,37x72,0.015164019555716713,0.058523422465665914,1.4428480014384907e-06,3.9429401543613114e-08,0.03040478099954624,0.00145901283022409,0.011687744162671989,0.993991261321782,159.27777799999998,15.634003967922038,0.75,1678,1390,0.8283671036948749,0.8510969930649848,1.0,0.8510969930649848,0.0,8.537736462515939e-07,8.537736462515939e-07,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,hfield_electric_only,hfield_electric_only,376.730313668,1.0,real_hfield_only,1.0,True,"J=n_cross_H_t from real CST H-field, M=0",96,2664,37x72,0.00015795853703871578,0.0,3.309760163019943e-12,3.9429401543613114e-08,14047.48318757419,0.005047587772717625,0.02801767384466725,0.9793055738253081,158.7021904336707,-40.760236610406004,0.75,1678,1245,0.7388459250446163,0.76458398741022,0.9977092606268768,0.76458398741022,0.0,8.537736462515939e-07,8.537736462515939e-07,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,electric_only_outgoing,electric_only_outgoing,376.730313668,1.0,fixed_eta0,,False,"J=-E_t/eta_eff, eta_eff=376.73 ohm, M=0",96,2664,37x72,0.00015534566861863538,0.0,3.219677823250177e-12,3.9429401543613114e-08,14236.919205472734,0.006956325290079013,0.026368639566126572,0.9727955542273784,40.856860492192574,-40.8800776920074,0.75,1678,1153,0.6861226920786182,0.7112545199180157,0.9992173677000987,0.7112545199180157,0.0,1.2074182697257333e-06,1.2074182697257333e-06,shape_pass_lobe_ambiguous
