candidate,method,sensor_count,selection_order,sensor_id,x_m,y_m,z_m,theta_deg,phi_deg,radius_m,polarization_channels
full_grid_162,full_grid,162,0,0,1.3588700224794952,0.0,12.928784639787553,6.000000000000001,0.0,13.0,theta;phi
full_grid_162,full_grid,162,1,1,1.276920132731163,0.4647609198493916,12.928784639787553,6.000000000000001,20.0,13.0,theta;phi
full_grid_162,full_grid,162,2,2,1.040954829641378,0.8734648136242886,12.928784639787553,6.000000000000001,40.0,13.0,theta;phi
full_grid_162,full_grid,162,3,3,0.6794350112397477,1.1768159599083738,12.928784639787553,6.000000000000001,59.99999999999999,13.0,theta;phi
full_grid_162,full_grid,162,4,4,0.2359653030897851,1.3382257334736802,12.928784639787553,6.000000000000001,80.0,13.0,theta;phi
full_grid_162,full_grid,162,5,5,-0.23596530308978492,1.3382257334736802,12.928784639787553,6.000000000000001,100.0,13.0,theta;phi
full_grid_162,full_grid,162,6,6,-0.6794350112397473,1.176815959908374,12.928784639787553,6.000000000000001,119.99999999999999,13.0,theta;phi
full_grid_162,full_grid,162,7,7,-1.040954829641378,0.8734648136242887,12.928784639787553,6.000000000000001,140.0,13.0,theta;phi
full_grid_162,full_grid,162,8,8,-1.2769201327311628,0.4647609198493918,12.928784639787553,6.000000000000001,160.0,13.0,theta;phi
full_grid_162,full_grid,162,9,9,-1.3588700224794952,1.6641358234868055e-16,12.928784639787553,6.000000000000001,180.0,13.0,theta;phi
full_grid_162,full_grid,162,10,10,-1.276920132731163,-0.4647609198493915,12.928784639787553,6.000000000000001,200.0,13.0,theta;phi
full_grid_162,full_grid,162,11,11,-1.040954829641378,-0.8734648136242886,12.928784639787553,6.000000000000001,220.0,13.0,theta;phi
full_grid_162,full_grid,162,12,12,-0.6794350112397481,-1.1768159599083736,12.928784639787553,6.000000000000001,239.99999999999997,13.0,theta;phi
full_grid_162,full_grid,162,13,13,-0.23596530308978497,-1.3382257334736802,12.928784639787553,6.000000000000001,260.0,13.0,theta;phi
full_grid_162,full_grid,162,14,14,0.23596530308978447,-1.3382257334736802,12.928784639787553,6.000000000000001,280.0,13.0,theta;phi
full_grid_162,full_grid,162,15,15,0.6794350112397477,-1.1768159599083738,12.928784639787553,6.000000000000001,300.0,13.0,theta;phi
full_grid_162,full_grid,162,16,16,1.0409548296413778,-0.873464813624289,12.928784639787553,6.000000000000001,320.0,13.0,theta;phi
full_grid_162,full_grid,162,17,17,1.2769201327311628,-0.4647609198493926,12.928784639787553,6.000000000000001,339.99999999999994,13.0,theta;phi
full_grid_162,full_grid,162,18,18,3.5832856256209897,0.0,12.496402047198146,16.000000000000004,0.0,13.0,theta;phi
full_grid_162,full_grid,162,19,19,3.3671870605642615,1.2255558632516994,12.496402047198146,16.000000000000004,20.0,13.0,theta;phi
full_grid_162,full_grid,162,20,20,2.74495604161507,2.3032916021170515,12.496402047198146,16.000000000000004,40.0,13.0,theta;phi
full_grid_162,full_grid,162,21,21,1.7916428128104953,3.103216380803392,12.496402047198146,16.000000000000004,59.99999999999999,13.0,theta;phi
full_grid_162,full_grid,162,22,22,0.6222310189491915,3.528847465368751,12.496402047198146,16.000000000000004,80.0,13.0,theta;phi
full_grid_162,full_grid,162,23,23,-0.6222310189491912,3.528847465368751,12.496402047198146,16.000000000000004,100.0,13.0,theta;phi
full_grid_162,full_grid,162,24,24,-1.7916428128104942,3.1032163808033926,12.496402047198146,16.000000000000004,119.99999999999999,13.0,theta;phi
full_grid_162,full_grid,162,25,25,-2.74495604161507,2.303291602117052,12.496402047198146,16.000000000000004,140.0,13.0,theta;phi
full_grid_162,full_grid,162,26,26,-3.367187060564261,1.2255558632517,12.496402047198146,16.000000000000004,160.0,13.0,theta;phi
full_grid_162,full_grid,162,27,27,-3.5832856256209897,4.388259271847466e-16,12.496402047198146,16.000000000000004,180.0,13.0,theta;phi
full_grid_162,full_grid,162,28,28,-3.3671870605642615,-1.2255558632516992,12.496402047198146,16.000000000000004,200.0,13.0,theta;phi
full_grid_162,full_grid,162,29,29,-2.74495604161507,-2.3032916021170515,12.496402047198146,16.000000000000004,220.0,13.0,theta;phi
full_grid_162,full_grid,162,30,30,-1.7916428128104964,-3.103216380803392,12.496402047198146,16.000000000000004,239.99999999999997,13.0,theta;phi
full_grid_162,full_grid,162,31,31,-0.6222310189491913,-3.528847465368751,12.496402047198146,16.000000000000004,260.0,13.0,theta;phi
full_grid_162,full_grid,162,32,32,0.62223101894919,-3.528847465368752,12.496402047198146,16.000000000000004,280.0,13.0,theta;phi
full_grid_162,full_grid,162,33,33,1.7916428128104953,-3.103216380803392,12.496402047198146,16.000000000000004,300.0,13.0,theta;phi
full_grid_162,full_grid,162,34,34,2.7449560416150693,-2.3032916021170524,12.496402047198146,16.000000000000004,320.0,13.0,theta;phi
full_grid_162,full_grid,162,35,35,3.36718706056426,-1.225555863251702,12.496402047198146,16.000000000000004,339.99999999999994,13.0,theta;phi
full_grid_162,full_grid,162,36,36,5.698824908258007,0.0,11.68432260188917,26.000000000000004,0.0,13.0,theta;phi
full_grid_162,full_grid,162,37,37,5.355143713440981,1.9491129119102943,11.68432260188917,26.000000000000004,20.0,13.0,theta;phi
full_grid_162,full_grid,162,38,38,4.365553153279065,3.6631340408012756,11.68432260188917,26.000000000000004,40.0,13.0,theta;phi
full_grid_162,full_grid,162,39,39,2.8494124541290042,4.935327142270957,11.68432260188917,26.000000000000004,59.99999999999999,13.0,theta;phi
full_grid_162,full_grid,162,40,40,0.9895905601619147,5.61224695271157,11.68432260188917,26.000000000000004,80.0,13.0,theta;phi
full_grid_162,full_grid,162,41,41,-0.9895905601619142,5.61224695271157,11.68432260188917,26.000000000000004,100.0,13.0,theta;phi
full_grid_162,full_grid,162,42,42,-2.849412454129002,4.935327142270958,11.68432260188917,26.000000000000004,119.99999999999999,13.0,theta;phi
full_grid_162,full_grid,162,43,43,-4.365553153279065,3.663134040801277,11.68432260188917,26.000000000000004,140.0,13.0,theta;phi
full_grid_162,full_grid,162,44,44,-5.35514371344098,1.9491129119102952,11.68432260188917,26.000000000000004,160.0,13.0,theta;phi
full_grid_162,full_grid,162,45,45,-5.698824908258007,6.979047682799377e-16,11.68432260188917,26.000000000000004,180.0,13.0,theta;phi
full_grid_162,full_grid,162,46,46,-5.355143713440981,-1.9491129119102943,11.68432260188917,26.000000000000004,200.0,13.0,theta;phi
full_grid_162,full_grid,162,47,47,-4.365553153279065,-3.6631340408012756,11.68432260188917,26.000000000000004,220.0,13.0,theta;phi
full_grid_162,full_grid,162,48,48,-2.849412454129006,-4.935327142270956,11.68432260188917,26.000000000000004,239.99999999999997,13.0,theta;phi
full_grid_162,full_grid,162,49,49,-0.9895905601619144,-5.61224695271157,11.68432260188917,26.000000000000004,260.0,13.0,theta;phi
full_grid_162,full_grid,162,50,50,0.9895905601619122,-5.612246952711571,11.68432260188917,26.000000000000004,280.0,13.0,theta;phi
full_grid_162,full_grid,162,51,51,2.8494124541290042,-4.935327142270957,11.68432260188917,26.000000000000004,300.0,13.0,theta;phi
full_grid_162,full_grid,162,52,52,4.365553153279065,-3.6631340408012774,11.68432260188917,26.000000000000004,320.0,13.0,theta;phi
full_grid_162,full_grid,162,53,53,5.355143713440978,-1.9491129119102986,11.68432260188917,26.000000000000004,339.99999999999994,13.0,theta;phi
full_grid_162,full_grid,162,54,54,7.641208279802152,0.0,10.517220926874316,36.00000000000001,0.0,13.0,theta;phi
full_grid_162,full_grid,162,55,55,7.180387034418268,2.6134471510392188,10.517220926874316,36.00000000000001,20.0,13.0,theta;phi
full_grid_162,full_grid,162,56,56,5.8535051414571635,4.911674005291018,10.517220926874316,36.00000000000001,40.0,13.0,theta;phi
full_grid_162,full_grid,162,57,57,3.820604139901077,6.617480485916654,10.517220926874316,36.00000000000001,59.99999999999999,13.0,theta;phi
full_grid_162,full_grid,162,58,58,1.3268818929611037,7.525121156330236,10.517220926874316,36.00000000000001,80.0,13.0,theta;phi
full_grid_162,full_grid,162,59,59,-1.326881892961103,7.525121156330236,10.517220926874316,36.00000000000001,100.0,13.0,theta;phi
full_grid_162,full_grid,162,60,60,-3.8206041399010746,6.617480485916656,10.517220926874316,36.00000000000001,119.99999999999999,13.0,theta;phi
full_grid_162,full_grid,162,61,61,-5.853505141457163,4.91167400529102,10.517220926874316,36.00000000000001,140.0,13.0,theta;phi
full_grid_162,full_grid,162,62,62,-7.180387034418266,2.6134471510392197,10.517220926874316,36.00000000000001,160.0,13.0,theta;phi
full_grid_162,full_grid,162,63,63,-7.641208279802152,9.357781261477957e-16,10.517220926874316,36.00000000000001,180.0,13.0,theta;phi
full_grid_162,full_grid,162,64,64,-7.180387034418268,-2.6134471510392183,10.517220926874316,36.00000000000001,200.0,13.0,theta;phi
full_grid_162,full_grid,162,65,65,-5.8535051414571635,-4.911674005291018,10.517220926874316,36.00000000000001,220.0,13.0,theta;phi
full_grid_162,full_grid,162,66,66,-3.8206041399010795,-6.617480485916653,10.517220926874316,36.00000000000001,239.99999999999997,13.0,theta;phi
full_grid_162,full_grid,162,67,67,-1.3268818929611033,-7.525121156330236,10.517220926874316,36.00000000000001,260.0,13.0,theta;phi
full_grid_162,full_grid,162,68,68,1.3268818929611006,-7.525121156330238,10.517220926874316,36.00000000000001,280.0,13.0,theta;phi
full_grid_162,full_grid,162,69,69,3.820604139901077,-6.617480485916654,10.517220926874316,36.00000000000001,300.0,13.0,theta;phi
full_grid_162,full_grid,162,70,70,5.853505141457162,-4.91167400529102,10.517220926874316,36.00000000000001,320.0,13.0,theta;phi
full_grid_162,full_grid,162,71,71,7.180387034418265,-2.613447151039224,10.517220926874316,36.00000000000001,339.99999999999994,13.0,theta;phi
full_grid_162,full_grid,162,72,72,9.351417404402465,0.0,9.030558815966963,46.00000000000001,0.0,13.0,theta;phi
full_grid_162,full_grid,162,73,73,8.78745792880591,3.198373120951884,9.030558815966963,46.00000000000001,20.0,13.0,theta;phi
full_grid_162,full_grid,162,74,74,7.163601337928605,6.010975240556962,9.030558815966963,46.00000000000001,40.0,13.0,theta;phi
full_grid_162,full_grid,162,75,75,4.675708702201233,8.098565033604473,9.030558815966963,46.00000000000001,59.99999999999999,13.0,theta;phi
full_grid_162,full_grid,162,76,76,1.6238565908773046,9.209348361508846,9.030558815966963,46.00000000000001,80.0,13.0,theta;phi
full_grid_162,full_grid,162,77,77,-1.6238565908773035,9.209348361508846,9.030558815966963,46.00000000000001,100.0,13.0,theta;phi
full_grid_162,full_grid,162,78,78,-4.675708702201231,8.098565033604473,9.030558815966963,46.00000000000001,119.99999999999999,13.0,theta;phi
full_grid_162,full_grid,162,79,79,-7.163601337928604,6.010975240556964,9.030558815966963,46.00000000000001,140.0,13.0,theta;phi
full_grid_162,full_grid,162,80,80,-8.78745792880591,3.198373120951886,9.030558815966963,46.00000000000001,160.0,13.0,theta;phi
full_grid_162,full_grid,162,81,81,-9.351417404402465,1.145218339179233e-15,9.030558815966963,46.00000000000001,180.0,13.0,theta;phi
full_grid_162,full_grid,162,82,82,-8.78745792880591,-3.1983731209518838,9.030558815966963,46.00000000000001,200.0,13.0,theta;phi
full_grid_162,full_grid,162,83,83,-7.163601337928605,-6.010975240556962,9.030558815966963,46.00000000000001,220.0,13.0,theta;phi
