sensor_id,node_id,component,probe_x_m,probe_y_m,probe_z_m,cst_probe_item,item_x_m,item_y_m,item_z_m,distance_m,status,result_ids,result_id,frequency_index,n_points,target_frequency_ghz,selected_frequency_ghz,frequency_error_ghz,h_real,h_imag,error
6,6,Hy,-0.0456569496532,0.16984157696,4.30260416667,1D Results\Probes\H-Field\H-Field (-0.0456569 0.169842 4.3026)(Y) [1],-0.0456569,0.169842,4.3026,4.188384792725e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.538417475270e-05,8.239328896918e-06,
6,6,Hz,-0.0456569496532,0.16984157696,4.30260416667,1D Results\Probes\H-Field\H-Field (-0.0456569 0.169842 4.3026)(Z) [1],-0.0456569,0.169842,4.3026,4.188384792725e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-8.114169868548e-06,-4.520067712605e-06,
7,7,Hx,-0.086584948168,-0.166714048882,4.2953125,1D Results\Probes\H-Field\H-Field (-0.0865849 -0.166714 4.29531)(X) [1],-0.0865849,-0.166714,4.29531,2.500941743759e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.152382366490e-11,-1.838208652803e-11,
7,7,Hy,-0.086584948168,-0.166714048882,4.2953125,1D Results\Probes\H-Field\H-Field (-0.0865849 -0.166714 4.29531)(Y) [1],-0.0865849,-0.166714,4.29531,2.500941743759e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.502057515584e-05,8.230027966899e-06,
7,7,Hz,-0.086584948168,-0.166714048882,4.2953125,1D Results\Probes\H-Field\H-Field (-0.0865849 -0.166714 4.29531)(Z) [1],-0.0865849,-0.166714,4.29531,2.500941743759e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,7.764244280228e-06,4.507470445809e-06,
8,8,Hx,0.186790362587,0.0682155408303,4.28802083333,1D Results\Probes\H-Field\H-Field (0.18679 0.0682155 4.28802)(X) [1],0.18679,0.0682155,4.28802,9.097116764703e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-8.868912333382e-12,5.210767646145e-11,
8,8,Hy,0.186790362587,0.0682155408303,4.28802083333,1D Results\Probes\H-Field\H-Field (0.18679 0.0682155 4.28802)(Y) [1],0.18679,0.0682155,4.28802,9.097116764703e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.426700540010e-05,8.092193615463e-06,
8,8,Hz,0.186790362587,0.0682155408303,4.28802083333,1D Results\Probes\H-Field\H-Field (0.18679 0.0682155 4.28802)(Z) [1],0.18679,0.0682155,4.28802,9.097116764703e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-3.728130884444e-06,-1.745601683845e-06,
9,9,Hx,-0.193210631957,0.0797545401925,4.28072916667,1D Results\Probes\H-Field\H-Field (-0.193211 0.0797545 4.28073)(X) [1],-0.193211,0.0797545,4.28073,9.118716887444e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,2.028234544847e-11,-4.661687208609e-11,
9,9,Hy,-0.193210631957,0.0797545401925,4.28072916667,1D Results\Probes\H-Field\H-Field (-0.193211 0.0797545 4.28073)(Y) [1],-0.193211,0.0797545,4.28073,9.118716887444e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.391306246990e-05,7.701612970892e-06,
9,9,Hz,-0.193210631957,0.0797545401925,4.28072916667,1D Results\Probes\H-Field\H-Field (-0.193211 0.0797545 4.28073)(Z) [1],-0.193211,0.0797545,4.28073,9.118716887444e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-4.281429945171e-06,-2.064155045240e-06,
10,10,Hx,0.0926003435022,-0.197881555424,4.2734375,1D Results\Probes\H-Field\H-Field (0.0926003 -0.197882 4.27344)(X) [1],0.0926003,-0.197882,4.27344,2.539594507145e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-2.471133983709e-13,2.419979807829e-11,
10,10,Hy,0.0926003435022,-0.197881555424,4.2734375,1D Results\Probes\H-Field\H-Field (0.0926003 -0.197882 4.27344)(Y) [1],0.0926003,-0.197882,4.27344,2.539594507145e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.381649571302e-05,7.545993280424e-06,
10,10,Hz,0.0926003435022,-0.197881555424,4.2734375,1D Results\Probes\H-Field\H-Field (0.0926003 -0.197882 4.27344)(Z) [1],0.0926003,-0.197882,4.27344,2.539594507145e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,9.293779655606e-06,5.297382278301e-06,
11,11,Hx,0.0680279501191,0.216883824666,4.26614583333,1D Results\Probes\H-Field\H-Field (0.068028 0.216884 4.26615)(X) [1],0.068028,0.216884,4.26615,4.170655703650e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,4.255832522673e-13,1.792734865808e-11,
11,11,Hy,0.0680279501191,0.216883824666,4.26614583333,1D Results\Probes\H-Field\H-Field (0.068028 0.216884 4.26615)(Y) [1],0.068028,0.216884,4.26615,4.170655703650e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.343182838025e-05,7.204714884429e-06,
11,11,Hz,0.0680279501191,0.216883824666,4.26614583333,1D Results\Probes\H-Field\H-Field (0.068028 0.216884 4.26615)(Z) [1],0.068028,0.216884,4.26615,4.170655703650e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-1.024611656778e-05,-5.787271899790e-06,
12,12,Hx,-0.203820183749,-0.118117962629,4.25885416667,1D Results\Probes\H-Field\H-Field (-0.20382 -0.118118 4.25885)(X) [1],-0.20382,-0.118118,4.25885,4.170887097093e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.747332493324e-11,-4.534963122124e-11,
12,12,Hy,-0.203820183749,-0.118117962629,4.25885416667,1D Results\Probes\H-Field\H-Field (-0.20382 -0.118118 4.25885)(Y) [1],-0.20382,-0.118118,4.25885,4.170887097093e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.279165295452e-05,6.585085306131e-06,
12,12,Hz,-0.203820183749,-0.118117962629,4.25885416667,1D Results\Probes\H-Field\H-Field (-0.20382 -0.118118 4.25885)(Z) [1],-0.20382,-0.118118,4.25885,4.170887097093e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,5.780355397141e-06,3.298168563345e-06,
13,13,Hx,0.237668202016,-0.0522506875014,4.2515625,1D Results\Probes\H-Field\H-Field (0.237668 -0.0522507 4.25156)(X) [1],0.237668,-0.0522507,4.25156,2.508179954316e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-1.006605035948e-11,5.583294765371e-11,
13,13,Hy,0.237668202016,-0.0522506875014,4.2515625,1D Results\Probes\H-Field\H-Field (0.237668 -0.0522507 4.25156)(Y) [1],0.237668,-0.0522507,4.25156,2.508179954316e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.245340922295e-05,6.318345494496e-06,
13,13,Hz,0.237668202016,-0.0522506875014,4.2515625,1D Results\Probes\H-Field\H-Field (0.237668 -0.0522507 4.25156)(Z) [1],0.237668,-0.0522507,4.25156,2.508179954316e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,2.989839050216e-06,1.344439591339e-06,
