sample_id,frequency_hz,theta_deg,phi_deg,reference_power,predicted_power,reference_power_norm,predicted_power_norm,predicted_e_theta_real,predicted_e_theta_imag,predicted_e_phi_real,predicted_e_phi_imag
L1_short_dipole_x_1p2G,1200000000.0,2.0,0.0,3.936494803863294e-08,1.2796526331002637e-06,0.9983653440717613,0.9750036762798426,-0.0005333634957754552,0.0009975784500827263,-2.624899686834342e-06,-2.521964835015048e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,5.0,3.936526342162356e-08,1.2798039252637893e-06,0.9983733427473249,0.975118950075101,-0.0005315624853066077,0.0009936300632074479,4.388552800863078e-05,-8.954667721484113e-05
L1_short_dipole_x_1p2G,1200000000.0,2.0,10.0,3.9366298802067355e-08,1.2799882669923821e-06,0.9983996018434123,0.9752594052724105,-0.0005257083786285939,0.0009821233492467668,9.005769095111846e-05,-0.00017590425463002085
L1_short_dipole_x_1p2G,1200000000.0,2.0,14.999999999999998,3.9368021523335014e-08,1.2802026970067784e-06,0.9984432931296153,0.9754227855890161,-0.0005158469325977362,0.000963143387362163,0.00013553749047645516,-0.00026093877288009163
L1_short_dipole_x_1p2G,1200000000.0,2.0,20.0,3.937037802112699e-08,1.2804433831098578e-06,0.9985030581196918,0.9756061711651184,-0.0005020548870971546,0.0009368319464706523,0.00017997635708358813,-0.0003440039075572409
L1_short_dipole_x_1p2G,1200000000.0,2.0,25.0,3.9373295460437915e-08,1.280705725274246e-06,0.9985770495879036,0.9758060571092452,-0.00048443932426011,0.0009033864979239514,0.00022303399222548169,-0.000424467831602486
L1_short_dipole_x_1p2G,1200000000.0,2.0,29.999999999999996,3.937668395803161e-08,1.2809844824501376e-06,0.9986629879349502,0.9760184501167329,-0.00046313678011269857,0.0008630588055065551,0.0002643810342224251,-0.0005017180207427861
L1_short_dipole_x_1p2G,1200000000.0,2.0,35.0,3.938043932293928e-08,1.2812739187576027e-06,0.9987582306918944,0.9762389798577953,-0.00043831211847571204,0.0008161530995908686,0.0003037016248449262,-0.0005751659296670011
L1_short_dipole_x_1p2G,1200000000.0,2.0,40.0,3.938444623163857e-08,1.2815679641517915e-06,0.9988598530483701,0.9764630213929052,-0.0004101571793663673,0.000763023845798893,0.00034069585466443397,-0.0006442515019173451
L1_short_dipole_x_1p2G,1200000000.0,2.0,45.0,3.9388581741194505e-08,1.2818603842703304e-06,0.9989647369521077,0.9766858245843485,-0.0003788892162318577,0.0007040731221583372,0.0003750820670860944,-0.000708447477021531
L1_short_dipole_x_1p2G,1200000000.0,2.0,50.0,3.939271903387892e-08,1.2821449539946914e-06,0.9990696660791665,0.9769026463375596,-0.00034474913810405303,0.0006397476224219712,0.0004065990029829292,-0.0007672634594126889
L1_short_dipole_x_1p2G,1200000000.0,2.0,55.0,3.939673127928828e-08,1.2824156292757239e-06,0.9991714237841348,0.9771088815198725,-0.0003079995741814799,0.0005705353068483511,0.00043500776996892976,-0.0008202497152001137
L1_short_dipole_x_1p2G,1200000000.0,2.0,59.99999999999999,3.9400495496217144e-08,1.2826667119784203e-06,0.9992668910441362,0.9773001885604296,-0.0002689227794366596,0.0004969617252211069,0.0004600936225139076,-0.0008670006648588991
L1_short_dipole_x_1p2G,1200000000.0,2.0,65.0,3.9403896297588357e-08,1.2828930028696287e-06,0.9993531414369415,0.9774726060158622,-0.00022781840063977704,0.0004195860401173742,0.00048166754126000336,-0.0009071580423689838
L1_short_dipole_x_1p2G,1200000000.0,2.0,70.0,3.9406829403978976e-08,1.2830899383828366e-06,0.9994275302502583,0.9776226567752644,-0.000185001122719026,0.0003389967813408129,0.0004995676020088291,-0.0009404136942001927
L1_short_dipole_x_1p2G,1200000000.0,2.0,75.0,3.9409204819246076e-08,1.2832537074193541e-06,0.9994877750212694,0.9777474370543301,-0.00014079821568094072,0.00025580736494480353,0.000513660126884229,-0.0009665119947365843
L1_short_dipole_x_1p2G,1200000000.0,2.0,80.0,3.9410949571433766e-08,1.2833813451554605e-06,0.9995320250509271,0.9778446878696816,-9.554700242455812e-05,0.0001706514123428656,0.0005238406121253182,-0.0009852518581747
L1_short_dipole_x_1p2G,1200000000.0,2.0,85.0,3.941200993616678e-08,1.2834708015923172e-06,0.999558917793183,0.9779128472689952,-4.959226772952323e-05,8.417790661712602e-05,0.0005300344288227676,-0.0009964883305256724
L1_short_dipole_x_1p2G,1200000000.0,2.0,90.0,3.941235307421482e-08,1.2835209833830235e-06,0.9995676203865425,0.9779510822002221,-3.283628501866583e-06,-2.9537757026821044e-06,0.0005321972946787488,-0.0010001337490119031
L1_short_dipole_x_1p2G,1200000000.0,2.0,95.0,3.941196803409046e-08,1.2835317682742402e-06,0.9995578550817372,0.9779592995150719,4.302711496306323e-05,-9.007891837972048e-05,0.0005303155165474267,-0.0009961584597968194
L1_short_dipole_x_1p2G,1200000000.0,2.0,100.0,3.941086608860835e-08,1.2835039922860682e-06,0.9995299077774675,0.9779381362009979,8.89886273818163e-05,-0.00017653256536095542,0.0005244060050963892,-0.0009845910885584403
L1_short_dipole_x_1p2G,1200000000.0,2.0,105.00000000000001,3.940908039571366e-08,1.2834394105051464e-06,0.9994846194184059,0.9778889295083449,0.00013425266777646646,-0.00026165462741137497,0.0005145160644160265,-0.0009655183618720598
L1_short_dipole_x_1p2G,1200000000.0,2.0,110.0,3.940666499336431e-08,1.2833406330663987e-06,0.9994233605036167,0.9778136681730252,0.00017847668152983615,-0.0003447949563062736,0.0005007229607855574,-0.0009390844806855217
L1_short_dipole_x_1p2G,1200000000.0,2.0,115.0,3.94036931592361e-08,1.283211038536054e-06,0.9993479894857501,0.9777149264205812,0.00022132633779026073,-0.00042531834782106123,0.0004831332760748161,-0.0009054900503552666
L1_short_dipole_x_1p2G,1200000000.0,2.0,119.99999999999999,3.940025518529704e-08,1.2830546674707157e-06,0.9992607963302756,0.9775957828658189,0.00026247799558994127,-0.0005026094353395775,0.0004618820524149264,-0.0008649905747847249
L1_short_dipole_x_1p2G,1200000000.0,2.0,125.00000000000001,3.9396455634170775e-08,1.2828760994078231e-06,0.9991644329319608,0.9774597267883468,0.0003016210828506833,-0.0005760774366123694,0.00043713173580964526,-0.0008178945252060149
