sensor_id,sample_surface,x_m,y_m,z_m,theta_deg,phi_deg,radius_m,e_theta_x,e_theta_y,e_theta_z,e_phi_x,e_phi_y,e_phi_z,intended_monitor_kind,coordinate_unit,angle_unit,field_components_required
0,upper_hemisphere_2pi,1.3588700224794952,0.0,12.928784639787551,6.000000000000001,0.0,13.0,0.9945218953682732,0.0,-0.1045284632676534,-0.0,1.0,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
1,upper_hemisphere_2pi,1.276920132731163,0.4647609198493916,12.928784639787551,6.000000000000001,20.0,13.0,0.9345448862875816,0.3401465211943725,-0.1045284632676534,-0.3420201433256687,0.9396926207859084,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
2,upper_hemisphere_2pi,1.040954829641378,0.8734648136242886,12.928784639787551,6.000000000000001,40.0,13.0,0.7618479715070194,0.6392663519046988,-0.1045284632676534,-0.6427876096865393,0.766044443118978,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
3,upper_hemisphere_2pi,0.6794350112397477,1.1768159599083738,12.928784639787551,6.000000000000001,59.99999999999999,13.0,0.4972609476841367,0.8612812260087741,-0.1045284632676534,-0.8660254037844386,0.5000000000000001,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
4,upper_hemisphere_2pi,0.2359653030897851,1.3382257334736802,12.928784639787551,6.000000000000001,80.0,13.0,0.1726969147805623,0.9794128730990714,-0.1045284632676534,-0.984807753012208,0.1736481776669304,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
5,upper_hemisphere_2pi,-0.2359653030897849,1.3382257334736802,12.928784639787551,6.000000000000001,100.0,13.0,-0.1726969147805621,0.9794128730990714,-0.1045284632676534,-0.984807753012208,-0.1736481776669303,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
6,upper_hemisphere_2pi,-0.6794350112397473,1.176815959908374,12.928784639787551,6.000000000000001,120.0,13.0,-0.4972609476841364,0.8612812260087742,-0.1045284632676534,-0.8660254037844387,-0.4999999999999998,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
7,upper_hemisphere_2pi,-1.040954829641378,0.8734648136242887,12.928784639787551,6.000000000000001,140.0,13.0,-0.7618479715070193,0.639266351904699,-0.1045284632676534,-0.6427876096865395,-0.7660444431189779,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
8,upper_hemisphere_2pi,-1.2769201327311628,0.4647609198493918,12.928784639787551,6.000000000000001,160.0,13.0,-0.9345448862875816,0.3401465211943727,-0.1045284632676534,-0.3420201433256689,-0.9396926207859084,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
9,upper_hemisphere_2pi,-1.3588700224794952,1.6641358234868055e-16,12.928784639787551,6.000000000000001,180.0,13.0,-0.9945218953682732,1.2179380558447151e-16,-0.1045284632676534,-1.2246467991473532e-16,-1.0,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
10,upper_hemisphere_2pi,-1.276920132731163,-0.4647609198493915,12.928784639787551,6.000000000000001,200.0,13.0,-0.9345448862875816,-0.3401465211943725,-0.1045284632676534,0.3420201433256686,-0.9396926207859084,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
11,upper_hemisphere_2pi,-1.040954829641378,-0.8734648136242886,12.928784639787551,6.000000000000001,220.0,13.0,-0.7618479715070194,-0.6392663519046988,-0.1045284632676534,0.6427876096865393,-0.766044443118978,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
12,upper_hemisphere_2pi,-0.6794350112397481,-1.1768159599083736,12.928784639787551,6.000000000000001,240.0,13.0,-0.4972609476841371,-0.861281226008774,-0.1045284632676534,0.8660254037844385,-0.5000000000000004,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
13,upper_hemisphere_2pi,-0.2359653030897849,-1.3382257334736802,12.928784639787551,6.000000000000001,260.0,13.0,-0.1726969147805622,-0.9794128730990714,-0.1045284632676534,0.984807753012208,-0.1736481776669303,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
14,upper_hemisphere_2pi,0.2359653030897844,-1.3382257334736802,12.928784639787551,6.000000000000001,280.0,13.0,0.1726969147805618,-0.9794128730990715,-0.1045284632676534,0.984807753012208,0.1736481776669299,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
15,upper_hemisphere_2pi,0.6794350112397477,-1.1768159599083738,12.928784639787551,6.000000000000001,300.0,13.0,0.4972609476841367,-0.8612812260087741,-0.1045284632676534,0.8660254037844386,0.5000000000000001,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
16,upper_hemisphere_2pi,1.0409548296413778,-0.873464813624289,12.928784639787551,6.000000000000001,320.0,13.0,0.7618479715070192,-0.6392663519046992,-0.1045284632676534,0.6427876096865396,0.7660444431189778,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
17,upper_hemisphere_2pi,1.2769201327311628,-0.4647609198493926,12.928784639787551,6.000000000000001,339.99999999999994,13.0,0.9345448862875814,-0.3401465211943733,-0.1045284632676534,0.3420201433256694,0.939692620785908,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
