sample_id,frequency_hz,sensor_id,node_id,prior_id,x_m,y_m,z_m,normal_x,normal_y,normal_z,tangent1_x,tangent1_y,tangent1_z,tangent2_x,tangent2_y,tangent2_z,weight_m2,polarization,h_real,h_imag,cst_project,cst_probe_item,extraction_method,selection_order,layout_candidate,layout_method,layout_sensor_count,weighting_model
L1_short_dipole_x_1p2G,1200000000,70,70,level1_local_sphere_r0p35,-0.0240229506746,-0.308231072306,3.8359375,-0.0686370019275,-0.880660206587,-0.46875,0.996976591612,-0.0777024824425,0.0,-0.0364230386449,-0.467332777318,0.883330876569,0.0481056375081,Hy,-7.842455875681e-06,-4.378450875372e-06,C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96.cst,1D Results\Probes\H-Field\H-Field (-0.024023 -0.308231 3.83594)(Y) [1],CST ResultTree 1D complex local Cartesian H-field probe,3,geometric_farthest_48,geometric_farthest,48,nearest_full96_cell_aggregation
L1_short_dipole_x_1p2G,1200000000,70,70,level1_local_sphere_r0p35,-0.0240229506746,-0.308231072306,3.8359375,-0.0686370019275,-0.880660206587,-0.46875,0.996976591612,-0.0777024824425,0.0,-0.0364230386449,-0.467332777318,0.883330876569,0.0481056375081,Hz,1.55257422734e-05,8.374801165119e-06,C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96.cst,1D Results\Probes\H-Field\H-Field (-0.024023 -0.308231 3.83594)(Z) [1],CST ResultTree 1D complex local Cartesian H-field probe,3,geometric_farthest_48,geometric_farthest,48,nearest_full96_cell_aggregation
L1_short_dipole_x_1p2G,1200000000,0,0,level1_local_sphere_r0p35,0.050386419129,0.0,4.34635416667,0.143961197511,0.0,0.989583333333,0.0,-1.0,0.0,0.989583333333,0.0,-0.143961197511,0.0320704250054,Hx,5.39506762849e-13,1.8276006824550002e-11,C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96.cst,1D Results\Probes\H-Field\H-Field (0.0503864 0 4.34635)(X) [1],CST ResultTree 1D complex local Cartesian H-field probe,4,geometric_farthest_48,geometric_farthest,48,nearest_full96_cell_aggregation
L1_short_dipole_x_1p2G,1200000000,0,0,level1_local_sphere_r0p35,0.050386419129,0.0,4.34635416667,0.143961197511,0.0,0.989583333333,0.0,-1.0,0.0,0.989583333333,0.0,-0.143961197511,0.0320704250054,Hy,1.625745067336e-05,1.128090851063e-05,C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96.cst,1D Results\Probes\H-Field\H-Field (0.0503864 0 4.34635)(Y) [1],CST ResultTree 1D complex local Cartesian H-field probe,4,geometric_farthest_48,geometric_farthest,48,nearest_full96_cell_aggregation
L1_short_dipole_x_1p2G,1200000000,0,0,level1_local_sphere_r0p35,0.050386419129,0.0,4.34635416667,0.143961197511,0.0,0.989583333333,0.0,-1.0,0.0,0.989583333333,0.0,-0.143961197511,0.0320704250054,Hz,3.048544512796e-07,-8.794245824097e-08,C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96.cst,1D Results\Probes\H-Field\H-Field (0.0503864 0 4.34635)(Z) [1],CST ResultTree 1D complex local Cartesian H-field probe,4,geometric_farthest_48,geometric_farthest,48,nearest_full96_cell_aggregation
L1_short_dipole_x_1p2G,1200000000,27,27,level1_local_sphere_r0p35,-0.122178408413,0.291939060851,4.14947916667,-0.349081166895,0.83411160243,0.427083333333,-0.922473219561,-0.386061082204,0.0,0.164880253858,-0.393972937521,0.904212268435,0.0160352125027,Hx,8.557666662313e-12,-1.467588525942e-11,C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96.cst,1D Results\Probes\H-Field\H-Field (-0.122178 0.291939 4.14948)(X) [1],CST ResultTree 1D complex local Cartesian H-field probe,5,geometric_farthest_48,geometric_farthest,48,nearest_full96_cell_aggregation
L1_short_dipole_x_1p2G,1200000000,27,27,level1_local_sphere_r0p35,-0.122178408413,0.291939060851,4.14947916667,-0.349081166895,0.83411160243,0.427083333333,-0.922473219561,-0.386061082204,0.0,0.164880253858,-0.393972937521,0.904212268435,0.0160352125027,Hy,7.154274282986e-06,4.177387613637e-06,C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96.cst,1D Results\Probes\H-Field\H-Field (-0.122178 0.291939 4.14948)(Y) [1],CST ResultTree 1D complex local Cartesian H-field probe,5,geometric_farthest_48,geometric_farthest,48,nearest_full96_cell_aggregation
L1_short_dipole_x_1p2G,1200000000,27,27,level1_local_sphere_r0p35,-0.122178408413,0.291939060851,4.14947916667,-0.349081166895,0.83411160243,0.427083333333,-0.922473219561,-0.386061082204,0.0,0.164880253858,-0.393972937521,0.904212268435,0.0160352125027,Hz,-1.467138919789e-05,-7.924014233637e-06,C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96.cst,1D Results\Probes\H-Field\H-Field (-0.122178 0.291939 4.14948)(Z) [1],CST ResultTree 1D complex local Cartesian H-field probe,5,geometric_farthest_48,geometric_farthest,48,nearest_full96_cell_aggregation
L1_short_dipole_x_1p2G,1200000000,31,31,level1_local_sphere_r0p35,0.177757907471,-0.276454388056,4.1203125,0.507879735632,-0.789869680159,0.34375,0.84112694688,0.540837738358,-0.0,-0.185912972561,0.28913738799,0.939061200082,0.0320704250054,Hx,-2.913825393646e-12,2.090947457989e-11,C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96.cst,1D Results\Probes\H-Field\H-Field (0.177758 -0.276454 4.12031)(X) [1],CST ResultTree 1D complex local Cartesian H-field probe,6,geometric_farthest_48,geometric_farthest,48,nearest_full96_cell_aggregation
L1_short_dipole_x_1p2G,1200000000,31,31,level1_local_sphere_r0p35,0.177757907471,-0.276454388056,4.1203125,0.507879735632,-0.789869680159,0.34375,0.84112694688,0.540837738358,-0.0,-0.185912972561,0.28913738799,0.939061200082,0.0320704250054,Hy,5.977639664716e-06,3.25542574414e-06,C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96.cst,1D Results\Probes\H-Field\H-Field (0.177758 -0.276454 4.12031)(Y) [1],CST ResultTree 1D complex local Cartesian H-field probe,6,geometric_farthest_48,geometric_farthest,48,nearest_full96_cell_aggregation
