result_export_dir,inspection_json,e_field_string_count,h_field_string_count,magnetic_string_count,status
outputs\cst_meshsafe_huygens_result_export,outputs\cst_meshsafe_huygens_result_export\meshsafe_huygens_tree_inspection.json,236,0,0,hfield_resulttree_missing
outputs\cst_meshsafe_huygens_result_export_halfwave,outputs\cst_meshsafe_huygens_result_export_halfwave\meshsafe_huygens_tree_inspection.json,236,0,0,hfield_resulttree_missing
