sample_id,candidate_count,scan_min_factor_to_eta0,scan_max_factor_to_eta0,best_factor_to_eta0,best_impedance_ohm,best_variant,best_status,best_scaled_power_nmse,best_correlation,best_region_lobe_error_deg,best_at_lower_scan_boundary,best_at_upper_scan_boundary,nmse_plateau_abs_window,plateau_factor_min_to_eta0,plateau_factor_max_to_eta0,plateau_factor_width_to_eta0,plateau_candidate_count,recommendation
L1_halfwave_dipole_z_1p2G,13,0.015625,4.0,0.03125,11.772822302125,outgoing_equivalence_minus_eta0p0312,region_shape_pass,0.0008012910468817,0.9989985078768624,0.0,False,False,8.012910468817e-06,0.015625,0.03125,0.015625,2,candidate_interior_eta
L1_short_dipole_z_1p2G,13,0.015625,4.0,0.0625,23.54564460425,outgoing_equivalence_minus_eta0p0625,region_shape_pass,0.0006959354012775,0.9989454730423356,0.0,False,False,6.959354012775e-06,0.03125,4.0,3.96875,12,candidate_interior_eta
