sample_id,frequency_hz,lmax,lambda_reg,include_l0,mode_count,sensor_count,nearfield_row_count,farfield_row_count,farfield_shape,basis_condition,nearfield_fit_relative_error,theta_fit_relative_error,phi_fit_relative_error,correlation,nmse,main_lobe_error_deg,raw_peak_angular_distance_deg,peak_error_db,farfield_complex_component_status,farfield_total_complex_correlation_abs,farfield_total_complex_relative_l2_error,theta_farfield_complex_correlation_abs,phi_farfield_complex_correlation_abs,theta_farfield_error_to_total_norm,phi_farfield_error_to_total_norm,theta_true_energy_fraction,phi_true_energy_fraction,theta_pred_energy_fraction,phi_pred_energy_fraction,true_peak_theta_deg,true_peak_phi_deg,pred_peak_theta_deg,pred_peak_phi_deg
L1_short_dipole_z_1p2G,1200000000.0,2,0.0,False,8,162,324,2664,37x72,4.562804517444079,0.11075775347480027,0.11075775347479638,0.29217521827253734,0.9413249468120689,0.0410486491536735,24.06020540178353,24.06020540178353,0.0046596822786233155,available,0.9943542290676528,0.10637603454575253,0.9943542290676521,0.9542264298664908,0.10637603454574805,3.265120623173234e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999946,1.0927854375999275e-14,88.0,185.0,68.888889,200.0
L1_short_dipole_z_1p2G,1200000000.0,2,1e-10,False,8,162,324,2664,37x72,4.562804517444079,0.11075775347480028,0.11075775347479638,0.2921752182725374,0.9413249468108308,0.0410486491543178,24.06020540178353,24.06020540178353,0.004659682099102037,available,0.9943542290676695,0.10637603454427527,0.9943542290676686,0.9542264298664456,0.10637603454427076,3.265120623172313e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999947,1.092785437611033e-14,88.0,185.0,68.888889,200.0
L1_short_dipole_z_1p2G,1200000000.0,2,1e-08,False,8,162,324,2664,37x72,4.562804517444079,0.11075775347480031,0.11075775347479641,0.2921752182725374,0.9413249466882937,0.041048649218079304,24.06020540178353,24.06020540178353,0.004659664328224598,available,0.9943542290693338,0.10637603439803121,0.994354229069333,0.9542264298619859,0.10637603439802673,3.265120623081144e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999944,1.0927854387103254e-14,88.0,185.0,68.888889,200.0
L1_short_dipole_z_1p2G,1200000000.0,2,1e-06,False,8,162,324,2664,37x72,4.562804517444079,0.11075775347496968,0.11075775347496578,0.2921752182725823,0.9413249344345477,0.04104865559425934,24.06020540178353,24.06020540178353,0.004657887240011303,available,0.9943542292357586,0.10637601977380678,0.9943542292357576,0.954226429415994,0.10637601977380229,3.265120613964807e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999946,1.0927855486395144e-14,88.0,185.0,68.888889,200.0
L1_short_dipole_z_1p2G,1200000000.0,3,0.0,False,15,162,324,2664,37x72,20.146665301904548,0.07913624892266571,0.07913624892266215,0.23308338500230819,0.9816991136848852,0.013303091763567872,24.35141386884869,24.35141386884869,0.09837360455806818,available,0.9965802871960179,0.08274185856291315,0.9965802871960173,0.9695440638831271,0.08274185856290912,2.6734661232782076e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999946,1.1232963755056555e-14,88.0,185.0,73.666667,205.0
L1_short_dipole_z_1p2G,1200000000.0,3,1e-10,False,15,162,324,2664,37x72,20.146665301904548,0.07913624892266567,0.07913624892266209,0.2330833850023082,0.9816991136787002,0.013303091767185336,24.35141386884869,24.35141386884869,0.09837360428773007,available,0.9965802871962145,0.0827418585594432,0.996580287196214,0.9695440638828976,0.0827418585594392,2.6734661232857677e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999941,1.1232963754990343e-14,88.0,185.0,73.666667,205.0
L1_short_dipole_z_1p2G,1200000000.0,3,1e-08,False,15,162,324,2664,37x72,20.146665301904548,0.07913624892266581,0.07913624892266224,0.2330833850023085,0.981699113066404,0.013303092125318286,24.35141386884869,24.35141386884869,0.09837357752562566,available,0.9965802872156897,0.08274185821591645,0.996580287215689,0.9695440638601855,0.08274185821591243,2.6734661240341925e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999943,1.123296374843361e-14,88.0,185.0,73.666667,205.0
L1_short_dipole_z_1p2G,1200000000.0,3,1e-06,False,15,162,324,2664,37x72,20.146665301904548,0.07913624892340357,0.07913624892339997,0.23308338500462814,0.9816990518365726,0.013303127938809646,24.35141386884869,24.35141386884869,0.09837090131690149,available,0.9965802891631629,0.08274182386390297,0.9965802891631623,0.9695440615885367,0.08274182386389894,2.6734661988970667e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999946,1.1232963092785968e-14,88.0,185.0,73.666667,205.0
L1_short_dipole_z_1p2G,1200000000.0,4,0.0,False,24,162,324,2664,37x72,105.11189274628238,0.02576559279771885,0.02576559279771101,0.1876677503574268,0.9990092548096616,0.0009260393811542808,0.0,0.0,0.07244488113041475,available,0.9995007505023927,0.03159596928494739,0.9995007505023924,0.9788591059475915,0.031595969284939546,2.2327798648214106e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999946,1.1497662203937318e-14,88.0,185.0,88.0,185.0
L1_short_dipole_z_1p2G,1200000000.0,4,1e-10,False,24,162,324,2664,37x72,105.11189274628238,0.025765592797718874,0.025765592797711026,0.1876677503574268,0.9990092548189734,0.000926039356733741,0.0,0.0,0.0724448784246841,available,0.9995007505020671,0.031595969295442276,0.9995007505020667,0.978859105956271,0.03159596929543444,2.232779864335478e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999946,1.1497662199648299e-14,88.0,185.0,88.0,185.0
L1_short_dipole_z_1p2G,1200000000.0,4,1e-08,False,24,162,324,2664,37x72,105.11189274628238,0.02576559279772329,0.025765592797715443,0.18766775035749644,0.9990092557408439,0.0009260369391024797,0.0,0.0,0.07244461055727362,available,0.9995007504698731,0.031595970334452675,0.9995007504698727,0.9788591068155531,0.03159597033444484,2.232779816228937e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999944,1.1497661775037386e-14,88.0,185.0,88.0,185.0
L1_short_dipole_z_1p2G,1200000000.0,4,1e-06,False,24,162,324,2664,37x72,105.11189274628238,0.025765592841902198,0.025765592841894357,0.18766775105356887,0.9990093479157296,0.000925795215451634,0.0,0.0,0.07241782398854132,available,0.999500747249538,0.03159607426664574,0.9995007472495376,0.9788591925986194,0.03159607426663791,2.2327750133664694e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999942,1.1497619324635976e-14,88.0,185.0,88.0,185.0
L1_short_dipole_z_1p2G,1200000000.0,5,0.0,False,35,162,324,2664,37x72,634.5728907361449,0.019526310605300135,0.019526310605292876,0.15689891820161622,0.9990127599805636,0.0006707072866304318,4.777777999999965,4.777777999999965,0.026468348716022255,available,0.9996668075558262,0.025820820238010894,0.9996668075558262,0.9834891163016493,0.02582082023800341,1.9755990194037165e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999941,1.158829227308266e-14,88.0,185.0,83.222222,185.0
L1_short_dipole_z_1p2G,1200000000.0,5,1e-10,False,35,162,324,2664,37x72,634.5728907361449,0.01952631060530009,0.019526310605292835,0.15689891820162177,0.9990127599523884,0.0006707073055573109,4.777777999999965,4.777777999999965,0.026468348942022345,available,0.9996668075559147,0.02582082023457361,0.9996668075559146,0.9834891172912236,0.025820820234566125,1.975598959857815e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999946,1.158829218783912e-14,88.0,185.0,83.222222,185.0
L1_short_dipole_z_1p2G,1200000000.0,5,1e-08,False,35,162,324,2664,37x72,634.5728907361449,0.019526310605328744,0.019526310605321485,0.1568989182586153,0.9990127571630643,0.0006707091793133487,4.777777999999965,4.777777999999965,0.026468371315016066,available,0.9996668075647337,0.02582081989433052,0.9996668075647337,0.9834892152421646,0.025820819894323038,1.9755930658205063e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999941,1.1588283749438769e-14,88.0,185.0,83.222222,185.0
L1_short_dipole_z_1p2G,1200000000.0,5,1e-06,False,35,162,324,2664,37x72,634.5728907361449,0.019526310891390897,0.019526310891383635,0.15689948239575138,0.9990124782101717,0.0006708965673262545,4.777777999999965,4.777777999999965,0.026470607754552372,available,0.9996668084406388,0.0258207861015565,0.9996668084406387,0.9834988431180945,0.025820786101549024,1.9750136405469112e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999943,1.1587447022130773e-14,88.0,185.0,83.222222,185.0
L1_short_dipole_z_1p2G,1200000000.0,6,0.0,False,48,162,324,2664,37x72,4531.203507096949,0.01179086279814796,0.011790862798139557,0.13071742859540683,0.9995157547588805,0.001378955148812994,0.0,84.93605085878559,0.14303233164461313,available,0.99982431270218,0.018744322339309078,0.9998243127021796,0.9852851545798931,0.0187443223392998,1.867397588288199e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999946,1.1747569535685202e-14,88.0,185.0,88.0,270.0
L1_short_dipole_z_1p2G,1200000000.0,6,1e-10,False,48,162,324,2664,37x72,4531.203507096949,0.01179086279815142,0.011790862798143014,0.1307174286058226,0.9995157556401496,0.0013789515986951109,0.0,84.93605085878559,0.14303212890106126,available,0.9998243127199127,0.018744321392319328,0.9998243127199127,0.9852853000830615,0.018744321392310057,1.8673882364358503e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999941,1.1747562747649359e-14,88.0,185.0,88.0,270.0
L1_short_dipole_z_1p2G,1200000000.0,6,1e-08,False,48,162,324,2664,37x72,4531.203507096949,0.011790862831487179,0.011790862831478774,0.13071753229060512,0.9995158428741285,0.0013786001780704297,0.0,84.93605085878559,0.14301205823166319,available,0.9998243144747748,0.018744227676507835,0.9998243144747747,0.9852996382522898,0.018744227676498564,1.8664664932499307e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999944,1.1746893085184774e-14,88.0,185.0,88.0,270.0
L1_short_dipole_z_1p2G,1200000000.0,6,1e-06,False,48,162,324,2664,37x72,4531.203507096949,0.011791193043929305,0.011791193043920806,0.13140709224881655,0.9995244503882739,0.001343863975926537,0.0,79.94143829632999,0.14101427738816788,available,0.9998244831983791,0.0187352148288127,0.9998244831983792,0.9862406395813312,0.018735214828804053,1.8051125257206525e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999942,1.1697841869748657e-14,88.0,185.0,88.0,265.0
L1_short_dipole_z_1p2G,1200000000.0,8,0.0,False,80,162,324,2664,37x72,520842.3818404845,0.003696780070988354,0.003696780070979073,0.07669647338533349,0.9956986633952895,0.023021949641182017,0.0,173.59766886420368,0.6878186134671922,available,0.9996866484363146,0.025055620869829223,0.9996866484363189,0.7231741294658678,0.02505562086962015,1.0237472460628325e-07,0.999999999999994,1.191443861901501e-14,0.9999999999999845,2.1928369397411313e-14,88.0,185.0,88.0,10.0
L1_short_dipole_z_1p2G,1200000000.0,8,1e-10,False,80,162,324,2664,37x72,520842.3818404845,0.0036967925355805135,0.0036967925355709755,0.07774881422979935,0.9957181841705052,0.022932247515844113,0.0,173.59766886420368,0.6863653607839049,available,0.9996877675016843,0.025010802829790728,0.9996877675016872,0.7985717543241039,0.025010802829660166,8.082817649925663e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999882,1.7994765568195493e-14,88.0,185.0,88.0,10.0
L1_short_dipole_z_1p2G,1200000000.0,8,1e-08,False,80,162,324,2664,37x72,520842.3818404845,0.003785906692790013,0.0037859066927746613,0.0997772695165746,0.9971958836767053,0.01587854301974227,0.0,0.0,0.5633855504116431,available,0.9997723174302519,0.021355077110267795,0.9997723174302519,0.9878864482118929,0.021355077110261085,1.695848265682342e-08,0.999999999999994,1.191443861901501e-14,0.999999999999994,1.1792125406100238e-14,88.0,185.0,88.0,185.0
L1_short_dipole_z_1p2G,1200000000.0,8,1e-06,False,80,162,324,2664,37x72,520842.3818404845,0.006319819987748214,0.0063198199877386695,0.10176214929844034,0.9997484510025239,0.00017653021974183464,4.777777999999965,4.777777999999965,0.01664696035258513,available,0.9999044407131489,0.01382664662625216,0.9999044407131485,0.9854920433045948,0.01382664662623971,1.8572657724584693e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999941,1.1853147829058292e-14,88.0,185.0,83.222222,185.0
L1_short_dipole_z_1p2G,1200000000.0,10,0.0,False,120,162,324,2664,37x72,1.1688896130392148e+16,1.8516691294626707e-11,1.299589817595094e-11,0.00012198159356873995,0.9847871723064398,0.02222283616779275,169.9026324365276,169.9026324365276,0.549973508835638,available,0.998885236453336,0.04721541527556466,0.9988852364535417,0.17271543350969637,0.047215415271177626,6.436451031084706e-07,0.999999999999994,1.191443861901501e-14,0.9999999999995789,4.270854323958788e-13,88.0,185.0,83.222222,10.0
L1_short_dipole_z_1p2G,1200000000.0,10,1e-10,False,120,162,324,2664,37x72,1.1688896130392148e+16,6.055525729214324e-06,6.055525253073708e-06,0.02220803160333167,0.9848513652295984,0.022128457070675896,169.9026324365276,169.9026324365276,0.5486033790817546,available,0.9988901475977238,0.0471112386615199,0.9988901475978159,0.24895214582446332,0.04711123865953021,4.3299262474813476e-07,0.999999999999994,1.191443861901501e-14,0.9999999999998058,1.9990455810108033e-13,88.0,185.0,83.222222,10.0
L1_short_dipole_z_1p2G,1200000000.0,10,1e-08,False,120,162,324,2664,37x72,1.1688896130392148e+16,0.0005014252525131273,0.0005014252524571727,0.06927858988602038,0.9897199404142105,0.01491903730317671,4.777777999999965,4.777777999999965,0.43604240739846223,available,0.9992534878613119,0.038635097272985336,0.9992534878613119,0.9837431857605216,0.038635097272980444,1.9751417157733665e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999942,1.2064216140854651e-14,88.0,185.0,83.222222,185.0
