sample_id,frequency_hz,variant,variant_family,impedance_ohm,impedance_factor_to_eta0,calibration_mode,hfield_j_scale,uses_real_hfield,model_note,sensor_count,farfield_points,farfield_shape,electric_current_l2,magnetic_current_l2,predicted_peak_power,reference_peak_power,best_power_scale,scaled_power_nmse,nmse,correlation,main_lobe_error_deg,peak_error_db,main_lobe_region_threshold,reference_lobe_region_points,predicted_lobe_region_points,main_lobe_region_jaccard,reference_lobe_region_capture,predicted_lobe_region_precision,main_lobe_region_min_capture,true_peak_to_pred_region_error_deg,pred_peak_to_true_region_error_deg,main_lobe_region_error_deg,status
L1_halfwave_dipole_z_1p2G,1200000000.0,eh_love_equivalence_minus_j96,eh_love_equivalence_minus,376.730313668,1.0,real_eh_j_scale_scan,96.0,True,"J=96*(n_cross_H_t) from real CST H-field, M contribution sign flipped for convention check",96,2664,37x72,3.533191055103399,13.631546766020165,0.0807431993320227,0.0021655445958506,0.02787765049542,0.0007131984075472,0.0021511365719848,0.9990868549511764,0.0,15.715388219606147,0.75,720,665,0.9236111111111112,0.9348678053290924,1.0,0.9348678053290924,0.0,0.0,0.0,strict_pass
L1_short_dipole_z_1p2G,1200000000.0,eh_love_equivalence_minus_j96,eh_love_equivalence_minus,376.730313668,1.0,real_eh_j_scale_scan,96.0,True,"J=96*(n_cross_H_t) from real CST H-field, M contribution sign flipped for convention check",96,2664,37x72,0.0027360283698833,0.0121228002665509,5.8873600860346e-08,3.914311124569356e-08,0.7070372051589259,0.0007303417569844,0.0042851050844059,0.998895662765677,134.58230131036078,1.7726525709126362,0.75,864,785,0.9085648148148148,0.9213297045630672,1.0,0.9213297045630672,0.0,0.0,0.0,region_shape_pass
