sample_id,frequency_hz,variant,variant_family,impedance_ohm,impedance_factor_to_eta0,calibration_mode,hfield_j_scale,uses_real_hfield,model_note,sensor_count,farfield_points,farfield_shape,electric_current_l2,magnetic_current_l2,predicted_peak_power,reference_peak_power,best_power_scale,scaled_power_nmse,nmse,correlation,main_lobe_error_deg,peak_error_db,main_lobe_region_threshold,reference_lobe_region_points,predicted_lobe_region_points,main_lobe_region_jaccard,reference_lobe_region_capture,predicted_lobe_region_precision,main_lobe_region_min_capture,true_peak_to_pred_region_error_deg,pred_peak_to_true_region_error_deg,main_lobe_region_error_deg,status
L1_short_dipole_x_1p2G,1200000000.0,outgoing_equivalence_minus,outgoing_equivalence_minus,376.730313668,1.0,fixed_eta0,,False,"J=-E_t/eta_eff, eta_eff=376.73 ohm, M sign flipped",96,2664,37x72,0.00015517900122007395,0.05846063380432761,1.3209579738446533e-06,3.9429401543613114e-08,0.03114944257029072,0.0008116271241088627,0.0025528924831573633,0.9966495171963946,62.111110999999994,15.250688153602672,0.75,1678,1584,0.9439809296781884,0.9532823832801464,1.0,0.9532823832801464,0.0,0.0,0.0,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,eh_love_equivalence_minus,eh_love_equivalence_minus,376.730313668,1.0,real_eh_surface_currents,1.0,True,"J=1*(n_cross_H_t) from real CST H-field, M contribution sign flipped for convention check",96,2664,37x72,0.00015813641860636324,0.05846063380432761,1.321153297672792e-06,3.9429401543613114e-08,0.03115110327544166,0.0008128711345354289,0.002570251213124832,0.9966447207088938,62.111110999999994,15.251330276906213,0.75,1678,1584,0.9439809296781884,0.9532823832801464,1.0,0.9532823832801464,0.0,0.0,0.0,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,magnetic_only_plus,magnetic_only_plus,376.730313668,1.0,not_used,,False,"J=0, M=-n_cross_E_t; eta_eff not used",96,2664,37x72,0.0,0.05846063380432761,1.321141816493499e-06,3.9429401543613114e-08,0.031150992300999894,0.0008128487957271273,0.0025692452287424646,0.9966446231494429,62.111110999999994,15.251292535377752,0.75,1678,1584,0.9439809296781884,0.9532823832801464,1.0,0.9532823832801464,0.0,0.0,0.0,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,magnetic_only_minus,magnetic_only_minus,376.730313668,1.0,not_used,,False,"J=0, M sign flipped; eta_eff not used",96,2664,37x72,0.0,0.05846063380432761,1.321141816493499e-06,3.9429401543613114e-08,0.031150992300999894,0.0008128487957271273,0.0025692452287424646,0.9966446231494429,62.111110999999994,15.251292535377752,0.75,1678,1584,0.9439809296781884,0.9532823832801464,1.0,0.9532823832801464,0.0,0.0,0.0,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,eh_love_equivalence_plus,eh_love_equivalence_plus,376.730313668,1.0,real_eh_surface_currents,1.0,True,"J=1*(n_cross_H_t) from real CST H-field, M=-n_cross_E_t from real CST E-field",96,2664,37x72,0.00015813641860636324,0.05846063380432761,1.3211361655582124e-06,3.9429401543613114e-08,0.031150739185684426,0.0008129389395833047,0.002568339753826921,0.9966440595032565,62.111110999999994,15.251273959209541,0.75,1678,1584,0.9439809296781884,0.9532823832801464,1.0,0.9532823832801464,0.0,0.0,0.0,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,outgoing_equivalence_plus,outgoing_equivalence_plus,376.730313668,1.0,fixed_eta0,,False,"J=-E_t/eta_eff, eta_eff=376.73 ohm, M=-n_cross_E_t",96,2664,37x72,0.00015517900122007395,0.05846063380432761,1.3213308518565809e-06,3.9429401543613114e-08,0.031152403089210995,0.0008142257472964808,0.0025857710488498623,0.9966390837433888,62.111110999999994,15.25191390048169,0.75,1678,1583,0.9433849821215733,0.9527917912989039,1.0,0.9527917912989039,0.0,0.0,0.0,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,eh_love_equivalence_minus_j96,eh_love_equivalence_minus,376.730313668,1.0,real_eh_j_scale_scan,96.0,True,"J=96*(n_cross_H_t) from real CST H-field, M contribution sign flipped for convention check",96,2664,37x72,0.015181096186210871,0.05846063380432761,1.3823054442958484e-06,3.9429401543613114e-08,0.030526636986878613,0.0013051801868845037,0.0056016902614404685,0.9946077395833386,176.00000000000006,15.447838330840803,0.75,1678,1541,0.9183551847437426,0.9311698285775857,1.0,0.9311698285775857,0.0,0.0,0.0,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,eh_love_equivalence_plus_j96,eh_love_equivalence_plus,376.730313668,1.0,real_eh_j_scale_scan,96.0,True,"J=96*(n_cross_H_t) from real CST H-field, M=-n_cross_E_t from real CST E-field",96,2664,37x72,0.015181096186210871,0.05846063380432761,1.4032505347101117e-06,3.9429401543613114e-08,0.03049283786427601,0.0013198633499653502,0.007476713347983324,0.9945523681852697,156.888889,15.513150309447045,0.75,1678,1468,0.8748510131108462,0.8931145141023419,1.0,0.8931145141023419,0.0,0.0,0.0,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,electric_only_outgoing,electric_only_outgoing,376.730313668,1.0,fixed_eta0,,False,"J=-E_t/eta_eff, eta_eff=376.73 ohm, M=0",96,2664,37x72,0.00015517900122007395,0.0,3.1484969853082356e-12,3.9429401543613114e-08,14398.030314459042,0.00487329432464111,0.021745619803214003,0.9804945636078682,0.0,-40.97716903634912,0.75,1678,1270,0.7558070279928529,0.7810842570003407,0.9992860914983226,0.7810842570003407,0.0,0.0,0.0,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,hfield_electric_only,hfield_electric_only,376.730313668,1.0,real_hfield_only,1.0,True,"J=n_cross_H_t from real CST H-field, M=0",96,2664,37x72,0.00015813641860636324,0.0,3.1362819648562066e-12,3.9429401543613114e-08,13922.092220617824,0.006300223984035638,0.015644803861229538,0.9746864378637619,154.9017061682769,-40.994050847787726,0.75,1678,1437,0.835592221567472,0.8608961168738248,0.9877783490318626,0.8608961168738248,0.0,8.537736462515939e-07,8.537736462515939e-07,region_shape_pass
