sample_id,sensor_id,x_m,y_m,z_m,theta_deg,phi_deg,radius_m,frequency_hz,polarization,e_real,e_imag,source_config,carrier_model,working_state,cst_project,cst_farfield_item,extraction_method
L1_short_dipole_x_1p2G,4,0.2359653030897851,1.33822573347368,12.92878463978755,6.000000000000001,80.0,13.0,1200000000,Ez,3.485183492415006e-06,-8.34061285860256e-07,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,5,-0.2359653030897849,1.33822573347368,12.92878463978755,6.000000000000001,100.0,13.0,1200000000,Ex,-0.0001929828213978515,4.628946767168537e-05,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,5,-0.2359653030897849,1.33822573347368,12.92878463978755,6.000000000000001,100.0,13.0,1200000000,Ey,-3.61349532084671e-07,8.665282730182032e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,5,-0.2359653030897849,1.33822573347368,12.92878463978755,6.000000000000001,100.0,13.0,1200000000,Ez,-3.484757767640549e-06,8.358672161947368e-07,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,6,-0.6794350112397473,1.176815959908374,12.92878463978755,6.000000000000001,120.0,13.0,1200000000,Ex,-0.0001925347142860581,4.610823357163836e-05,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,6,-0.6794350112397473,1.176815959908374,12.92878463978755,6.000000000000001,120.0,13.0,1200000000,Ey,-9.154296837716504e-07,2.191755309386501e-07,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,6,-0.6794350112397473,1.176815959908374,12.92878463978755,6.000000000000001,120.0,13.0,1200000000,Ez,-1.003478185441296e-05,2.403135313782406e-06,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,7,-1.040954829641378,0.8734648136242887,12.92878463978755,6.000000000000001,140.0,13.0,1200000000,Ex,-0.0001918779962379494,4.570794016048839e-05,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,7,-1.040954829641378,0.8734648136242887,12.92878463978755,6.000000000000001,140.0,13.0,1200000000,Ey,-1.042133685429827e-06,2.48174003219912e-07,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,7,-1.040954829641378,0.8734648136242887,12.92878463978755,6.000000000000001,140.0,13.0,1200000000,Ez,-1.537855763863626e-05,3.663386089500899e-06,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
