sample_id,grid_index,theta_deg,phi_deg,radius_m,frequency_hz,e_theta_real,e_theta_imag,e_phi_real,e_phi_imag,power,source_config,carrier_model,working_state,cst_project,cst_farfield_item,extraction_method
L1_short_dipole_x_1p2G,13,2.0,65.0,13.0,1200000000,-8.163940015122098e-05,1.912170328568207e-05,0.0001751845929143339,-4.103198154418682e-05,3.940389629760022e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,14,2.0,70.0,13.0,1200000000,-6.606792847015372e-05,1.548287191896666e-05,0.000181632451028377,-4.256514586178109e-05,3.940682940400695e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,15,2.0,75.0,13.0,1200000000,-4.999473250388795e-05,1.172163541930306e-05,0.0001866983568993196,-4.377280360348545e-05,3.940920481925339e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,16,2.0,80.0,13.0,1200000000,-3.35419872202208e-05,7.86725828889368e-06,0.0001903439188426347,-4.464508339570948e-05,3.941094957144698e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,17,2.0,85.0,13.0,1200000000,-1.683473015945772e-05,3.94982223387015e-06,0.0001925415260567235,-4.517478771065751e-05,3.941200993617583e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,18,2.0,90.0,13.0,1200000000,8.479613165511876e-11,-2.549571815204224e-11,0.0001932745546557647,-4.535746462102811e-05,3.941235307423984e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,19,2.0,95.0,13.0,1200000000,1.683454760235936e-05,-3.951330669977702e-06,0.0001925374910803538,-4.519145445274198e-05,3.941196803411118e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,20,2.0,100.0,13.0,1200000000,3.354075905710982e-05,-7.873094809898783e-06,0.0001903359720432897,-4.467791059310833e-05,3.941086608864249e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,21,2.0,105.0,13.0,1200000000,4.99917974648488e-05,-1.173453926007922e-05,0.0001866867407699982,-4.382079404818019e-05,3.940908039575033e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,22,2.0,110.0,13.0,1200000000,6.606267780947183e-05,-1.550536773823955e-05,0.000181617519895145,-4.262684168996274e-05,3.940666499338066e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,23,2.0,115.0,13.0,1200000000,8.163129634238502e-05,-1.915602450348634e-05,0.0001751668019750844,-4.110550848451802e-05,3.940369315926566e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,24,2.0,120.0,13.0,1200000000,9.657935359952592e-05,-2.265794534034324e-05,0.0001673835591668357,-3.926888433866136e-05,3.9400255185309e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,25,2.0,125.0,13.0,1200000000,0.0001107932490148552,-2.598379865742735e-05,0.0001583268742045884,-3.713158653866011e-05,3.9396455634211e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,26,2.0,130.0,13.0,1200000000,0.0001241649404976,-2.910771414604166e-05,0.0001480654953712534,-3.471062907230024e-05,3.93924101617097e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,27,2.0,135.0,13.0,1200000000,0.0001365927625852809,-3.200549663163927e-05,0.0001366773187117,-3.202527041940394e-05,3.938824200097235e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,28,2.0,140.0,13.0,1200000000,0.0001479821970731642,-3.465482297581834e-05,0.000124248801263191,-2.909684165960555e-05,3.938407821599021e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,29,2.0,145.0,13.0,1200000000,0.0001582465903517269,-3.703542014311819e-05,0.0001108743095834221,-2.594855697482988e-05,3.938004583780107e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
