sample_id,frequency_hz,candidate,method,sensor_count,measurement_channels,equivalent_source_points,unknown_count,channel_unknown_ratio,lambda_reg,effective_rank,rank_ratio,stable_condition,nmse,correlation,main_lobe_error_deg,peak_error_db
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,45,135,2.4,0.0001,135,1.0,185.92676953422503,0.3203551638682805,0.7929894882043745,109.90036842753926,21.178955230332576
L1_short_dipole_z_1p2G,1200000000.0,geometric_farthest_120,geometric_farthest,120,240,45,135,1.7777777777777777,0.0001,135,1.0,139.5897302906224,0.9840692086156703,-0.4444569763397695,86.43962424408694,32.79309663037618
L1_short_dipole_z_1p2G,1200000000.0,fibonacci_snap_120,fibonacci_snap,120,240,45,135,1.7777777777777777,0.0001,135,1.0,129.55081376059263,0.9405543703366416,-0.3584860288528348,84.89928264711317,30.49113184058745
L1_short_dipole_z_1p2G,1200000000.0,dictionary_weighted_120,dictionary_weighted,120,240,45,135,1.7777777777777777,0.0001,135,1.0,139.18505005575938,0.49630159491996784,0.6740346546309671,119.87920257674472,23.046568838993238
L1_short_dipole_z_1p2G,1200000000.0,dictionary_weighted_81,dictionary_weighted,81,162,45,135,1.2,0.0001,135,1.0,322.29535619722526,0.8627716319264563,0.256769411508928,75.4559555105478,35.81769017361593
L1_short_dipole_z_1p2G,1200000000.0,task_driven_48,task_driven,48,96,45,135,0.7111111111111111,0.0001,96,0.7111111111111111,29.663899813346887,0.6958346114244158,0.22615066144732254,144.77927745728067,31.568842365286514
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,45,135,2.4,0.0001,135,1.0,185.92676953422503,0.29838113661240345,0.8201047927728131,69.95112855114229,20.828357565733103
L1_halfwave_dipole_z_1p2G,1200000000.0,geometric_farthest_120,geometric_farthest,120,240,45,135,1.7777777777777777,0.0001,135,1.0,139.5897302906224,0.9957033443453939,-0.3918317255091087,82.1377501880301,31.980180607456962
L1_halfwave_dipole_z_1p2G,1200000000.0,fibonacci_snap_120,fibonacci_snap,120,240,45,135,1.7777777777777777,0.0001,135,1.0,129.55081376059263,0.9429662243160236,-0.29410105222399185,83.45066393579523,29.775538878538192
L1_halfwave_dipole_z_1p2G,1200000000.0,dictionary_weighted_120,dictionary_weighted,120,240,45,135,1.7777777777777777,0.0001,135,1.0,139.18505005575938,0.4832238532419432,0.7235627812057446,109.90036842753926,22.658844704855134
L1_halfwave_dipole_z_1p2G,1200000000.0,dictionary_weighted_81,dictionary_weighted,81,162,45,135,1.2,0.0001,135,1.0,322.29535619722526,0.8517947769192917,0.2733993672421693,57.34360281333123,34.9336411241179
L1_halfwave_dipole_z_1p2G,1200000000.0,task_driven_48,task_driven,48,96,45,135,0.7111111111111111,0.0001,96,0.7111111111111111,29.663899813346887,0.6976392545577886,0.23143530846384314,84.9360508587856,31.299842156220205
