sensor_id,x_m,y_m,z_m,theta_deg,phi_deg,e_theta_x,e_theta_y,e_theta_z,e_phi_x,e_phi_y,e_phi_z,radius_m
0,1.3588700224794952,0.0,12.928784639787553,6.000000000000001,0.0,0.9945218953682733,0.0,-0.10452846326765347,-0.0,1.0,0.0,13.0
1,1.276920132731163,0.4647609198493916,12.928784639787553,6.000000000000001,20.0,0.9345448862875817,0.34014652119437255,-0.10452846326765347,-0.3420201433256687,0.9396926207859084,0.0,13.0
2,1.040954829641378,0.8734648136242886,12.928784639787553,6.000000000000001,40.0,0.7618479715070194,0.6392663519046988,-0.10452846326765347,-0.6427876096865393,0.766044443118978,0.0,13.0
3,0.6794350112397477,1.1768159599083738,12.928784639787553,6.000000000000001,59.99999999999999,0.49726094768413676,0.8612812260087741,-0.10452846326765347,-0.8660254037844386,0.5000000000000001,0.0,13.0
4,0.2359653030897851,1.3382257334736802,12.928784639787553,6.000000000000001,80.0,0.1726969147805623,0.9794128730990714,-0.10452846326765347,-0.984807753012208,0.17364817766693041,0.0,13.0
5,-0.23596530308978492,1.3382257334736802,12.928784639787553,6.000000000000001,100.0,-0.17269691478056218,0.9794128730990714,-0.10452846326765347,-0.984807753012208,-0.1736481776669303,0.0,13.0
6,-0.6794350112397473,1.176815959908374,12.928784639787553,6.000000000000001,119.99999999999999,-0.4972609476841364,0.8612812260087742,-0.10452846326765347,-0.8660254037844387,-0.4999999999999998,0.0,13.0
7,-1.040954829641378,0.8734648136242887,12.928784639787553,6.000000000000001,140.0,-0.7618479715070193,0.639266351904699,-0.10452846326765347,-0.6427876096865395,-0.7660444431189779,0.0,13.0
8,-1.2769201327311628,0.4647609198493918,12.928784639787553,6.000000000000001,160.0,-0.9345448862875816,0.3401465211943727,-0.10452846326765347,-0.3420201433256689,-0.9396926207859083,0.0,13.0
9,-1.3588700224794952,1.6641358234868055e-16,12.928784639787553,6.000000000000001,180.0,-0.9945218953682733,1.217938055844715e-16,-0.10452846326765347,-1.2246467991473532e-16,-1.0,0.0,13.0
10,-1.276920132731163,-0.4647609198493915,12.928784639787553,6.000000000000001,200.0,-0.9345448862875817,-0.3401465211943725,-0.10452846326765347,0.34202014332566866,-0.9396926207859084,0.0,13.0
11,-1.040954829641378,-0.8734648136242886,12.928784639787553,6.000000000000001,220.0,-0.7618479715070194,-0.6392663519046988,-0.10452846326765347,0.6427876096865393,-0.766044443118978,0.0,13.0
12,-0.6794350112397481,-1.1768159599083736,12.928784639787553,6.000000000000001,239.99999999999997,-0.4972609476841371,-0.861281226008774,-0.10452846326765347,0.8660254037844385,-0.5000000000000004,0.0,13.0
13,-0.23596530308978497,-1.3382257334736802,12.928784639787553,6.000000000000001,260.0,-0.1726969147805622,-0.9794128730990714,-0.10452846326765347,0.984807753012208,-0.17364817766693033,0.0,13.0
14,0.23596530308978447,-1.3382257334736802,12.928784639787553,6.000000000000001,280.0,0.17269691478056187,-0.9794128730990715,-0.10452846326765347,0.9848077530122081,0.17364817766692997,0.0,13.0
15,0.6794350112397477,-1.1768159599083738,12.928784639787553,6.000000000000001,300.0,0.49726094768413676,-0.8612812260087741,-0.10452846326765347,0.8660254037844386,0.5000000000000001,0.0,13.0
16,1.0409548296413778,-0.873464813624289,12.928784639787553,6.000000000000001,320.0,0.7618479715070192,-0.6392663519046992,-0.10452846326765347,0.6427876096865396,0.7660444431189778,0.0,13.0
17,1.2769201327311628,-0.4647609198493926,12.928784639787553,6.000000000000001,339.99999999999994,0.9345448862875814,-0.3401465211943733,-0.10452846326765347,0.34202014332566943,0.9396926207859081,0.0,13.0
18,3.5832856256209897,0.0,12.496402047198146,16.000000000000004,0.0,0.9612616959383189,0.0,-0.2756373558169992,-0.0,1.0,0.0,13.0
19,3.3671870605642615,1.2255558632516994,12.496402047198146,16.000000000000004,20.0,0.9032905223173859,0.3287708630182992,-0.2756373558169992,-0.3420201433256687,0.9396926207859084,0.0,13.0
20,2.74495604161507,2.3032916021170515,12.496402047198146,16.000000000000004,40.0,0.7363691805566739,0.6178871078154209,-0.2756373558169992,-0.6427876096865393,0.766044443118978,0.0,13.0
21,1.7916428128104953,3.103216380803392,12.496402047198146,16.000000000000004,59.99999999999999,0.48063084796915956,0.8324770483674968,-0.2756373558169992,-0.8660254037844386,0.5000000000000001,0.0,13.0
22,0.6222310189491915,3.528847465368751,12.496402047198146,16.000000000000004,80.0,0.16692134176071205,0.9466579708337202,-0.2756373558169992,-0.984807753012208,0.17364817766693041,0.0,13.0
23,-0.6222310189491912,3.528847465368751,12.496402047198146,16.000000000000004,100.0,-0.16692134176071194,0.9466579708337202,-0.2756373558169992,-0.984807753012208,-0.1736481776669303,0.0,13.0
24,-1.7916428128104942,3.1032163808033926,12.496402047198146,16.000000000000004,119.99999999999999,-0.4806308479691592,0.8324770483674969,-0.2756373558169992,-0.8660254037844387,-0.4999999999999998,0.0,13.0
