sample_id,sensor_id,x_m,y_m,z_m,theta_deg,phi_deg,frequency_hz,polarization,e_real,e_imag,source_config,carrier_model,working_state,cst_project,monitor_name
L1_short_dipole_z_1p2G,8,-1.2769201327311628,0.4647609198493918,12.928784639787553,6.000000000000001,160.0,1200000000,Ex,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,8,-1.2769201327311628,0.4647609198493918,12.928784639787553,6.000000000000001,160.0,1200000000,Ey,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,8,-1.2769201327311628,0.4647609198493918,12.928784639787553,6.000000000000001,160.0,1200000000,Ez,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,9,-1.3588700224794952,1.6641358234868055e-16,12.928784639787553,6.000000000000001,180.0,1200000000,Ex,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,9,-1.3588700224794952,1.6641358234868055e-16,12.928784639787553,6.000000000000001,180.0,1200000000,Ey,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,9,-1.3588700224794952,1.6641358234868055e-16,12.928784639787553,6.000000000000001,180.0,1200000000,Ez,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,10,-1.276920132731163,-0.4647609198493915,12.928784639787553,6.000000000000001,200.0,1200000000,Ex,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,10,-1.276920132731163,-0.4647609198493915,12.928784639787553,6.000000000000001,200.0,1200000000,Ey,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,10,-1.276920132731163,-0.4647609198493915,12.928784639787553,6.000000000000001,200.0,1200000000,Ez,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,11,-1.040954829641378,-0.8734648136242886,12.928784639787553,6.000000000000001,220.0,1200000000,Ex,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,11,-1.040954829641378,-0.8734648136242886,12.928784639787553,6.000000000000001,220.0,1200000000,Ey,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,11,-1.040954829641378,-0.8734648136242886,12.928784639787553,6.000000000000001,220.0,1200000000,Ez,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,12,-0.6794350112397481,-1.1768159599083736,12.928784639787553,6.000000000000001,239.99999999999997,1200000000,Ex,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,12,-0.6794350112397481,-1.1768159599083736,12.928784639787553,6.000000000000001,239.99999999999997,1200000000,Ey,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,12,-0.6794350112397481,-1.1768159599083736,12.928784639787553,6.000000000000001,239.99999999999997,1200000000,Ez,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,13,-0.23596530308978497,-1.3382257334736802,12.928784639787553,6.000000000000001,260.0,1200000000,Ex,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,13,-0.23596530308978497,-1.3382257334736802,12.928784639787553,6.000000000000001,260.0,1200000000,Ey,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,13,-0.23596530308978497,-1.3382257334736802,12.928784639787553,6.000000000000001,260.0,1200000000,Ez,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,14,0.23596530308978447,-1.3382257334736802,12.928784639787553,6.000000000000001,280.0,1200000000,Ex,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,14,0.23596530308978447,-1.3382257334736802,12.928784639787553,6.000000000000001,280.0,1200000000,Ey,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,14,0.23596530308978447,-1.3382257334736802,12.928784639787553,6.000000000000001,280.0,1200000000,Ez,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,15,0.6794350112397477,-1.1768159599083738,12.928784639787553,6.000000000000001,300.0,1200000000,Ex,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,15,0.6794350112397477,-1.1768159599083738,12.928784639787553,6.000000000000001,300.0,1200000000,Ey,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
L1_short_dipole_z_1p2G,15,0.6794350112397477,-1.1768159599083738,12.928784639787553,6.000000000000001,300.0,1200000000,Ez,,,short_dipole_z,standard_source,single_source_on,CST_L1_short_dipole_1p2GHz.cst,nearfield_hemisphere_1p2GHz
