sample_id,project_exists,status,status_detail,tree_count_before,tree_count_after,candidate_count_after,definition_candidate_count_after,exportable_result_count_after,target_csv_written,target_export_path,target_rows,error
L1_short_dipole_z_1p2G,True,no_solved_result_tree_items,"CST true near-field monitor/probe definitions exist, but no solved result-tree items were found under 1D Results, 2D/3D Results, or Tables.",205,205,164,164,0,False,data\cst_exports\level1_true_nearfield\L1_short_dipole_z_1p2G_true_nearfield.csv,,
L1_halfwave_dipole_z_1p2G,True,no_solved_result_tree_items,"CST true near-field monitor/probe definitions exist, but no solved result-tree items were found under 1D Results, 2D/3D Results, or Tables.",205,205,164,164,0,False,data\cst_exports\level1_true_nearfield\L1_halfwave_dipole_z_1p2G_true_nearfield.csv,,
