queue_order,sample_id,frequency_hz,cst_project,project_exists,project_size_bytes,true_nearfield_monitor,sample_shell_csv,sensor_count,expected_export_rows,target_export_path,target_export_exists,reference_export_exists,status,blockers
1,L1_short_dipole_z_1p2G,1200000000,CST_L1_short_dipole_z_1p2G.cst,True,46458,true_nf_shell_1200MHz,data\cst_true_nearfield_workpack\true_nearfield_sensor_shell.csv,162,486,data\cst_exports\level1_true_nearfield\L1_short_dipole_z_1p2G_true_nearfield.csv,False,True,ready_for_cst_export,
4,L1_halfwave_dipole_z_1p2G,1200000000,CST_L1_halfwave_dipole_z_1p2G.cst,True,46735,true_nf_shell_1200MHz,data\cst_true_nearfield_workpack\true_nearfield_sensor_shell.csv,162,486,data\cst_exports\level1_true_nearfield\L1_halfwave_dipole_z_1p2G_true_nearfield.csv,False,True,ready_for_cst_export,
