sample_id,frequency_hz,lmax,lambda_reg,include_l0,mode_count,sensor_count,nearfield_row_count,farfield_row_count,farfield_shape,basis_condition,nearfield_fit_relative_error,theta_fit_relative_error,phi_fit_relative_error,correlation,nmse,main_lobe_error_deg,raw_peak_angular_distance_deg,peak_error_db,true_peak_theta_deg,true_peak_phi_deg,pred_peak_theta_deg,pred_peak_phi_deg,candidate,candidate_method,requested_sensor_count,missing_sensor_count,layout_path,component_sample_count,channel_count,mode_sensor_ratio,is_component_underdetermined
L1_short_dipole_z_1p2G,1200000000.0,5,1e-10,False,35,162,324,2664,37x72,634.5728907361449,0.01952631060530009,0.019526310605292835,0.15689891820162177,0.9990127599523884,0.0006707073055573109,4.777777999999965,4.777777999999965,0.026468348942022345,88.0,185.0,83.222222,185.0,full_grid_162,full_grid,162,0,data\sampling_layouts\hemisphere_sampling_candidates.csv,162,324,0.21604938271604937,False
L1_short_dipole_z_1p2G,1200000000.0,5,1e-08,False,35,162,324,2664,37x72,634.5728907361449,0.019526310605328744,0.019526310605321485,0.1568989182586153,0.9990127571630643,0.0006707091793133487,4.777777999999965,4.777777999999965,0.026468371315016066,88.0,185.0,83.222222,185.0,full_grid_162,full_grid,162,0,data\sampling_layouts\hemisphere_sampling_candidates.csv,162,324,0.21604938271604937,False
L1_short_dipole_z_1p2G,1200000000.0,5,1e-06,False,35,162,324,2664,37x72,634.5728907361449,0.019526310891390897,0.019526310891383635,0.15689948239575138,0.9990124782101717,0.0006708965673262545,4.777777999999965,4.777777999999965,0.026470607754552372,88.0,185.0,83.222222,185.0,full_grid_162,full_grid,162,0,data\sampling_layouts\hemisphere_sampling_candidates.csv,162,324,0.21604938271604937,False
L1_short_dipole_z_1p2G,1200000000.0,6,0.0,False,48,162,324,2664,37x72,4531.203507096949,0.01179086279814796,0.011790862798139557,0.13071742859540683,0.9995157547588805,0.001378955148812994,0.0,84.93605085878559,0.14303233164461313,88.0,185.0,88.0,270.0,full_grid_162,full_grid,162,0,data\sampling_layouts\hemisphere_sampling_candidates.csv,162,324,0.2962962962962963,False
L1_short_dipole_z_1p2G,1200000000.0,6,1e-10,False,48,162,324,2664,37x72,4531.203507096949,0.01179086279815142,0.011790862798143014,0.1307174286058226,0.9995157556401496,0.0013789515986951109,0.0,84.93605085878559,0.14303212890106126,88.0,185.0,88.0,270.0,full_grid_162,full_grid,162,0,data\sampling_layouts\hemisphere_sampling_candidates.csv,162,324,0.2962962962962963,False
L1_short_dipole_z_1p2G,1200000000.0,6,1e-08,False,48,162,324,2664,37x72,4531.203507096949,0.011790862831487179,0.011790862831478774,0.13071753229060512,0.9995158428741285,0.0013786001780704297,0.0,84.93605085878559,0.14301205823166319,88.0,185.0,88.0,270.0,full_grid_162,full_grid,162,0,data\sampling_layouts\hemisphere_sampling_candidates.csv,162,324,0.2962962962962963,False
L1_short_dipole_z_1p2G,1200000000.0,6,1e-06,False,48,162,324,2664,37x72,4531.203507096949,0.011791193043929305,0.011791193043920806,0.13140709224881655,0.9995244503882739,0.001343863975926537,0.0,79.94143829632999,0.14101427738816788,88.0,185.0,88.0,265.0,full_grid_162,full_grid,162,0,data\sampling_layouts\hemisphere_sampling_candidates.csv,162,324,0.2962962962962963,False
L1_short_dipole_z_1p2G,1200000000.0,8,0.0,False,80,162,324,2664,37x72,520842.3818404845,0.003696780070988354,0.003696780070979073,0.07669647338533349,0.9956986633952895,0.023021949641182017,0.0,173.59766886420368,0.6878186134671922,88.0,185.0,88.0,10.0,full_grid_162,full_grid,162,0,data\sampling_layouts\hemisphere_sampling_candidates.csv,162,324,0.49382716049382713,False
L1_short_dipole_z_1p2G,1200000000.0,8,1e-10,False,80,162,324,2664,37x72,520842.3818404845,0.0036967925355805135,0.0036967925355709755,0.07774881422979935,0.9957181841705052,0.022932247515844113,0.0,173.59766886420368,0.6863653607839049,88.0,185.0,88.0,10.0,full_grid_162,full_grid,162,0,data\sampling_layouts\hemisphere_sampling_candidates.csv,162,324,0.49382716049382713,False
L1_short_dipole_z_1p2G,1200000000.0,8,1e-08,False,80,162,324,2664,37x72,520842.3818404845,0.003785906692790013,0.0037859066927746613,0.0997772695165746,0.9971958836767053,0.01587854301974227,0.0,0.0,0.5633855504116431,88.0,185.0,88.0,185.0,full_grid_162,full_grid,162,0,data\sampling_layouts\hemisphere_sampling_candidates.csv,162,324,0.49382716049382713,False
