sample_id,frequency_hz,variant,variant_family,impedance_ohm,impedance_factor_to_eta0,calibration_mode,hfield_j_scale,uses_real_hfield,model_note,sensor_count,farfield_points,farfield_shape,electric_current_l2,magnetic_current_l2,predicted_peak_power,reference_peak_power,best_power_scale,scaled_power_nmse,nmse,correlation,main_lobe_error_deg,peak_error_db,main_lobe_region_threshold,reference_lobe_region_points,predicted_lobe_region_points,main_lobe_region_jaccard,reference_lobe_region_capture,predicted_lobe_region_precision,main_lobe_region_min_capture,true_peak_to_pred_region_error_deg,pred_peak_to_true_region_error_deg,main_lobe_region_error_deg,status
L1_short_dipole_x_1p2G,1200000000.0,electric_only_outgoing,electric_only_outgoing,376.730313668,1.0,fixed_eta0,,False,"J=-E_t/eta_eff, eta_eff=376.73 ohm, M=0",32,2664,37x72,9.092149772863175e-05,0.0,6.159553863730567e-11,3.9429401543613114e-08,1713.7029757134496,0.42246647740930177,0.6491218206332158,0.34971750457847156,6.904057193486788,-28.062709280658957,0.75,1678,11,0.006555423122765197,0.006915604175053469,1.0,0.006915604175053469,2.388888999999934,8.537736462515939e-07,2.388888999999934,diagnostic_only
L1_short_dipole_x_1p2G,1200000000.0,hfield_electric_only,hfield_electric_only,376.730313668,1.0,real_hfield_only,1.0,True,"J=n_cross_H_t from real CST H-field, M=0",32,2664,37x72,9.181704261772229e-05,0.0,6.102663809985245e-11,3.9429401543613114e-08,1716.9145557024253,0.4235392677579262,0.6477723521641766,0.3415369142006431,6.904057193486788,-28.10300739694755,0.75,1678,9,0.005363528009535161,0.005694755584488949,1.0,0.005694755584488949,2.388888999999934,8.537736462515939e-07,2.388888999999934,diagnostic_only
L1_short_dipole_x_1p2G,1200000000.0,eh_love_equivalence_plus_j96,eh_love_equivalence_plus,376.730313668,1.0,real_eh_j_scale_scan,96.0,True,"J=96*(n_cross_H_t) from real CST H-field, M=-n_cross_E_t from real CST E-field",32,2664,37x72,0.00881443609130134,0.03425288435847399,7.509506143616494e-06,3.9429401543613114e-08,0.009377052034343733,0.3395830568887858,0.46747390787114246,0.15426051566174612,65.71888038672563,22.79791191494912,0.75,1678,41,0.0040887850467289715,0.004469620880595271,0.15666567927036879,0.004469620880595271,40.151134608854676,29.63322791142006,40.151134608854676,diagnostic_only
L1_short_dipole_x_1p2G,1200000000.0,eh_love_equivalence_plus,eh_love_equivalence_plus,376.730313668,1.0,real_eh_surface_currents,1.0,True,"J=1*(n_cross_H_t) from real CST H-field, M=-n_cross_E_t from real CST E-field",32,2664,37x72,9.181704261772229e-05,0.03425288435847399,7.680512791608839e-06,3.9429401543613114e-08,0.009839044573664458,0.35698485516226575,0.504046473103653,0.05205872878582028,46.031698583091455,22.895700313580164,0.75,1678,42,0.0,0.0,0.0,0.0,40.151134608854676,14.555517824452373,40.151134608854676,diagnostic_only
L1_short_dipole_x_1p2G,1200000000.0,outgoing_equivalence_plus,outgoing_equivalence_plus,376.730313668,1.0,fixed_eta0,,False,"J=-E_t/eta_eff, eta_eff=376.73 ohm, M=-n_cross_E_t",32,2664,37x72,9.092149772863175e-05,0.03425288435847399,7.681849475194918e-06,3.9429401543613114e-08,0.009839026898131344,0.3569919911893558,0.5041072433055486,0.05203903486215893,46.031698583091455,22.896456075352827,0.75,1678,41,0.0,0.0,0.0,0.0,40.151134608854676,14.555517824452373,40.151134608854676,diagnostic_only
L1_short_dipole_x_1p2G,1200000000.0,magnetic_only_plus,magnetic_only_plus,376.730313668,1.0,not_used,,False,"J=0, M=-n_cross_E_t; eta_eff not used",32,2664,37x72,0.0,0.03425288435847399,7.692555407896014e-06,3.9429401543613114e-08,0.009836967139936257,0.3573291216836428,0.5047467916346391,0.051059983993770756,46.031698583091455,22.902504476292684,0.75,1678,41,0.0,0.0,0.0,0.0,40.151134608854676,14.555517824452373,40.151134608854676,diagnostic_only
L1_short_dipole_x_1p2G,1200000000.0,magnetic_only_minus,magnetic_only_minus,376.730313668,1.0,not_used,,False,"J=0, M sign flipped; eta_eff not used",32,2664,37x72,0.0,0.03425288435847399,7.692555407896014e-06,3.9429401543613114e-08,0.009836967139936257,0.3573291216836428,0.5047467916346391,0.051059983993770756,46.031698583091455,22.902504476292684,0.75,1678,41,0.0,0.0,0.0,0.0,40.151134608854676,14.555517824452373,40.151134608854676,diagnostic_only
L1_short_dipole_x_1p2G,1200000000.0,outgoing_equivalence_minus,outgoing_equivalence_minus,376.730313668,1.0,fixed_eta0,,False,"J=-E_t/eta_eff, eta_eff=376.73 ohm, M sign flipped",32,2664,37x72,9.092149772863175e-05,0.03425288435847399,7.703270602494428e-06,3.9429401543613114e-08,0.009834761287118887,0.35766908023652266,0.505383146463457,0.05008490345346402,46.031698583091455,22.90854968703337,0.75,1678,41,0.0,0.0,0.0,0.0,40.151134608854676,14.555517824452373,40.151134608854676,diagnostic_only
L1_short_dipole_x_1p2G,1200000000.0,eh_love_equivalence_minus,eh_love_equivalence_minus,376.730313668,1.0,real_eh_surface_currents,1.0,True,"J=1*(n_cross_H_t) from real CST H-field, M contribution sign flipped for convention check",32,2664,37x72,9.181704261772229e-05,0.03425288435847399,7.704609594502563e-06,3.9429401543613114e-08,0.009834742067608572,0.35767633846278735,0.5054438358661204,0.050065058199609054,46.031698583091455,22.90930451746361,0.75,1678,41,0.0,0.0,0.0,0.0,40.151134608854676,14.555517824452373,40.151134608854676,diagnostic_only
L1_short_dipole_x_1p2G,1200000000.0,eh_love_equivalence_minus_j96,eh_love_equivalence_minus,376.730313668,1.0,real_eh_j_scale_scan,96.0,True,"J=96*(n_cross_H_t) from real CST H-field, M contribution sign flipped for convention check",32,2664,37x72,0.00881443609130134,0.03425288435847399,8.902517978454105e-06,3.9429401543613114e-08,0.009036653747564367,0.39974937681218053,0.5558029951851399,-0.020370095646220245,46.031698583091455,23.536926739606436,0.75,1678,33,0.0011702750146284377,0.0012412373317616239,0.05525611871256075,0.0012412373317616239,40.41572404473603,14.555517824452373,40.41572404473603,diagnostic_only
