source_model,candidate,lambda_reg,convention_id,measurement_transform,near_phase_sign,far_phase_sign,grid_points,mean_correlation,min_correlation,mean_nmse,max_nmse,mean_main_lobe_error_deg,max_main_lobe_error_deg,mean_nearfield_relative_residual,mean_nearfield_power_nmse,mean_stable_condition,status
single_center,full_grid_162,0.0001,current_phi_sign_flip,phi_sign_flip,-1,1,1,0.9963037428415186,0.9926081196115002,0.008892872701103685,0.017784451900722396,0.0,0.0,0.988250631022096,0.31106714496511817,1.1898036316783183,corr_pass_nmse_near
single_center,full_grid_162,1e-05,current_phi_sign_flip,phi_sign_flip,-1,1,1,0.9963037428415185,0.9926081196114999,0.008892872701103866,0.017784451900722677,0.0,0.0,0.9882506308065908,0.31106714496528776,1.1898036316783183,corr_pass_nmse_near
single_center,full_grid_162,1e-05,reciprocal_flipped_phi_sign_flip,phi_sign_flip,1,-1,1,0.9963037428415183,0.9926081196114999,0.00889287270258174,0.017784451903822423,0.0,0.0,0.9884969690464562,0.3110671447851421,1.1898036316783183,corr_pass_nmse_near
single_center,full_grid_162,0.0001,current_direct,direct,-1,1,1,0.9963037428415125,0.9926081196114998,0.008892872572274285,0.01778445165053833,0.0,0.0,0.9882506310220955,0.31106712389328783,1.1898036316783183,corr_pass_nmse_near
single_center,full_grid_162,0.0001,reciprocal_flipped_complex_conjugate,complex_conjugate,1,-1,1,0.9963037428415125,0.9926081196114998,0.008892872572274285,0.01778445165053833,0.0,0.0,0.9882506310220955,0.31106712389328783,1.1898036316783183,corr_pass_nmse_near
single_center,full_grid_162,1e-05,current_direct,direct,-1,1,1,0.9963037428415122,0.9926081196114996,0.008892872572279158,0.017784451650547727,0.0,0.0,0.9882506308065906,0.3110671238942138,1.1898036316783183,corr_pass_nmse_near
single_center,full_grid_162,1e-05,reciprocal_flipped_complex_conjugate,complex_conjugate,1,-1,1,0.9963037428415122,0.9926081196114996,0.008892872572279158,0.017784451650547727,0.0,0.0,0.9882506308065906,0.3110671238942138,1.1898036316783183,corr_pass_nmse_near
single_center,full_grid_162,0.0001,reciprocal_flipped_phi_sign_flip,phi_sign_flip,1,-1,1,0.9963037428415182,0.9926081196114995,0.008892872702581626,0.01778445190382228,0.0,0.0,0.9884969692574159,0.3110671447849653,1.1898036316783183,corr_pass_nmse_near
single_center,full_grid_162,0.0001,current_complex_conjugate,complex_conjugate,-1,1,1,0.996303742841521,0.9926081196114993,0.008892872557555281,0.017784451620304616,0.0,0.0,0.9884969692574157,0.31106712489075283,1.1898036316783183,corr_pass_nmse_near
single_center,full_grid_162,0.0001,reciprocal_flipped_direct,direct,1,-1,1,0.996303742841521,0.9926081196114993,0.008892872557555281,0.017784451620304616,0.0,0.0,0.9884969692574157,0.31106712489075283,1.1898036316783183,corr_pass_nmse_near
