sample_id,frequency_hz,candidate,candidate_method,source_model,grid_points,unknown_count,sensor_count,measurement_channels,channel_unknown_ratio,lambda_reg,convention_id,measurement_transform,near_phase_sign,far_phase_sign,convention_note,nearfield_relative_residual,nearfield_power_nmse,nearfield_extraction_method,farfield_extraction_method,effective_rank,rank_ratio,stable_condition,nmse,correlation,main_lobe_error_deg,peak_error_db
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,1e-05,reciprocal_flipped_direct,direct,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Use theta/phi complex samples as converted by cst_io.",0.988473071849583,0.22639460674428633,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,1.2934948062647848e-06,0.9999993660715427,0.0,4.104972835000044
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,1e-05,reciprocal_flipped_complex_conjugate,complex_conjugate,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Complex conjugate the measured theta/phi samples.",0.988472180553042,0.22639460348436494,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,1.2934940105891532e-06,0.999999366071525,0.0,4.105306687138295
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,1e-05,reciprocal_flipped_phi_sign_flip,phi_sign_flip,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Flip the phi-polarization sign.",0.9884730718495836,0.22639463297433124,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,1.2935013410587778e-06,0.9999993660715368,0.0,4.104972816467926
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,1e-05,reciprocal_flipped_theta_phi_swap,theta_phi_swap,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Swap theta and phi polarization channels.",1.0,0.21965906446063377,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,0.9999983295183693,0.9803674934342471,158.19265480404357,-75.92655342097045
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,0.0001,current_direct,direct,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Use theta/phi complex samples as converted by cst_io.",0.9880290812797322,0.3957396443036113,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,0.01778445165053833,0.9926081196114998,0.0,3.725374517041054
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,0.0001,current_complex_conjugate,complex_conjugate,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Complex conjugate the measured theta/phi samples.",0.9885208664538478,0.39573964303850284,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,0.017784451620304616,0.9926081196114993,0.0,3.5442649767433854
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,0.0001,current_phi_sign_flip,phi_sign_flip,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Flip the phi-polarization sign.",0.9880290812797324,0.39573965644973297,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,0.017784451900722396,0.9926081196115002,0.0,3.725374511618181
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,0.0001,current_theta_phi_swap,theta_phi_swap,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Swap theta and phi polarization channels.",1.0000000000000002,0.4402687290459426,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,0.9996533878625316,0.9697449545346216,143.98011661669244,-123.35567131742805
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,0.0001,reciprocal_flipped_direct,direct,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Use theta/phi complex samples as converted by cst_io.",0.9885208664538478,0.39573964303850284,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,0.017784451620304616,0.9926081196114993,0.0,3.5442649767433854
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,0.0001,reciprocal_flipped_complex_conjugate,complex_conjugate,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Complex conjugate the measured theta/phi samples.",0.9880290812797322,0.3957396443036113,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,0.01778445165053833,0.9926081196114998,0.0,3.725374517041054
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,0.0001,reciprocal_flipped_phi_sign_flip,phi_sign_flip,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Flip the phi-polarization sign.",0.9885208664538477,0.3957396565959426,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,0.01778445190382228,0.9926081196114995,0.0,3.544264970597981
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,0.0001,reciprocal_flipped_theta_phi_swap,theta_phi_swap,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Swap theta and phi polarization channels.",1.0000000000000002,0.4942014173173781,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,0.9999405852476839,0.7998454998557607,70.64375811314659,-123.35567131742805
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,1e-05,current_direct,direct,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Use theta/phi complex samples as converted by cst_io.",0.9880290810601393,0.3957396443040627,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,0.017784451650547727,0.9926081196114996,0.0,3.726435479647665
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,1e-05,current_complex_conjugate,complex_conjugate,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Complex conjugate the measured theta/phi samples.",0.988520866243329,0.39573964303899917,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,0.017784451620314987,0.9926081196114992,0.0,3.5453259393499703
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,1e-05,current_phi_sign_flip,phi_sign_flip,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Flip the phi-polarization sign.",0.9880290810601394,0.3957396564497478,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,0.017784451900722677,0.9926081196114999,0.0,3.7264354742249717
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,1e-05,current_theta_phi_swap,theta_phi_swap,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Swap theta and phi polarization channels.",1.0000000000000002,0.4402612402550458,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,0.9996533067900856,0.9697475172148288,143.98011661669244,-123.35567131742805
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,1e-05,reciprocal_flipped_direct,direct,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Use theta/phi complex samples as converted by cst_io.",0.988520866243329,0.39573964303899917,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,0.017784451620314987,0.9926081196114992,0.0,3.5453259393499703
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,1e-05,reciprocal_flipped_complex_conjugate,complex_conjugate,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Complex conjugate the measured theta/phi samples.",0.9880290810601393,0.3957396443040627,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,0.017784451650547727,0.9926081196114996,0.0,3.726435479647665
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,1e-05,reciprocal_flipped_phi_sign_flip,phi_sign_flip,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Flip the phi-polarization sign.",0.9885208662433288,0.3957396565959529,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,0.017784451903822423,0.9926081196114999,0.0,3.5453259332047837
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,1e-05,reciprocal_flipped_theta_phi_swap,theta_phi_swap,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Swap theta and phi polarization channels.",1.0000000000000002,0.49418886954459984,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,0.9999405717406105,0.7998605991309143,70.64375811314659,-123.35567131742805
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,45,135,162,324,2.4,0.0001,current_direct,direct,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Use theta/phi complex samples as converted by cst_io.",0.5606989707315833,0.24065670973120507,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,135,1.0,185.92676953422503,0.3203551638682805,0.7929894882043745,109.90036842753926,21.178955230332576
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,45,135,162,324,2.4,0.0001,current_complex_conjugate,complex_conjugate,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Complex conjugate the measured theta/phi samples.",0.5606953496126352,0.24065578997039908,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,135,1.0,185.92676953422503,0.3203595147165886,0.7929878984470993,59.95970153020868,21.17901530862142
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,45,135,162,324,2.4,0.0001,current_phi_sign_flip,phi_sign_flip,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Flip the phi-polarization sign.",0.5606989713193529,0.24065671119405807,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,135,1.0,185.92676953422503,0.3203552059138689,0.7929894884088526,59.95970153020868,21.178955690831135
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,45,135,162,324,2.4,0.0001,current_theta_phi_swap,theta_phi_swap,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Swap theta and phi polarization channels.",0.787862116306582,0.5729172968155544,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,135,1.0,185.92676953422503,0.5804077400033599,0.4457941925715263,54.95519650363919,20.45531098477474
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,45,135,162,324,2.4,0.0001,reciprocal_flipped_direct,direct,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Use theta/phi complex samples as converted by cst_io.",0.5606953496126352,0.24065578997039908,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,135,1.0,185.92676953422503,0.3203595147165886,0.7929878984470993,59.95970153020868,21.17901530862142
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,45,135,162,324,2.4,0.0001,reciprocal_flipped_complex_conjugate,complex_conjugate,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Complex conjugate the measured theta/phi samples.",0.5606989707315833,0.24065670973120507,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,135,1.0,185.92676953422503,0.3203551638682805,0.7929894882043745,109.90036842753926,21.178955230332576
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,45,135,162,324,2.4,0.0001,reciprocal_flipped_phi_sign_flip,phi_sign_flip,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Flip the phi-polarization sign.",0.5606953502029725,0.24065578703236962,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,135,1.0,185.92676953422503,0.3203595387407953,0.7929878986614559,69.95112855114232,21.179015567325067
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,45,135,162,324,2.4,0.0001,reciprocal_flipped_theta_phi_swap,theta_phi_swap,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Swap theta and phi polarization channels.",0.787860758193175,0.5729157580540892,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,135,1.0,185.92676953422503,0.5804089150508956,0.44579850585230846,44.98640924614876,20.45537691684928
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,45,135,162,324,2.4,1e-05,current_direct,direct,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Use theta/phi complex samples as converted by cst_io.",0.5606549862087227,0.23848856265551346,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,135,1.0,185.92676953422503,0.3184250043667315,0.7940780752731348,109.90036842753926,21.175638928194054
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,45,135,162,324,2.4,1e-05,current_complex_conjugate,complex_conjugate,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Complex conjugate the measured theta/phi samples.",0.5606513632291706,0.23848758155400024,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,135,1.0,185.92676953422503,0.3184293237058294,0.7940765562887718,59.95970153020868,21.17569865981268
