queue_order,sample_id,case_priority,frequency_hz,frequency_label,cst_project,source_type,orientation_axis,source_center_m,source_start_m,source_end_m,true_nearfield_monitor,sample_shell_csv,target_export_path,target_export_exists,expected_sensor_count,expected_export_rows,required_components,reference_nearfield_export,reference_export_exists,gate_status,source_status,operator_action,dropzone_command,gate_command,comparison_command
1,L1_short_dipole_z_1p2G,required,1200000000,1200MHz,CST_L1_short_dipole_z_1p2G.cst,short_dipole,z,"0.0,0.0,4.0","0.0,0.0,3.993754323791667","0.0,0.0,4.006245676208334",true_nf_shell_1200MHz,data\cst_true_nearfield_workpack\true_nearfield_sensor_shell.csv,data\cst_exports\level1_true_nearfield\L1_short_dipole_z_1p2G_true_nearfield.csv,False,162,486,Ex;Ey;Ez,data\cst_exports\level1\L1_short_dipole_z_1p2G_nearfield.csv,True,pending_source,missing_candidate_export,export_full_grid_true_monitor_csv,python code\check_true_nearfield_dropzone.py --required-only --full-grid-only,python code\run_true_nearfield_gate.py --required-only --candidate full_grid_162,python code\compare_true_nearfield_exports.py --true-nearfield data/cst_exports/level1_true_nearfield/L1_short_dipole_z_1p2G_true_nearfield.csv --reference-nearfield data/cst_exports/level1/L1_short_dipole_z_1p2G_nearfield.csv --out-dir data\cst_true_nearfield_workpack\comparison\L1_short_dipole_z_1p2G\full_grid_162
4,L1_halfwave_dipole_z_1p2G,required,1200000000,1200MHz,CST_L1_halfwave_dipole_z_1p2G.cst,halfwave_dipole,z,"0.0,0.0,4.0","0.0,0.0,3.9375432379166666","0.0,0.0,4.062456762083333",true_nf_shell_1200MHz,data\cst_true_nearfield_workpack\true_nearfield_sensor_shell.csv,data\cst_exports\level1_true_nearfield\L1_halfwave_dipole_z_1p2G_true_nearfield.csv,False,162,486,Ex;Ey;Ez,data\cst_exports\level1\L1_halfwave_dipole_z_1p2G_nearfield.csv,True,pending_source,missing_candidate_export,export_full_grid_true_monitor_csv,python code\check_true_nearfield_dropzone.py --required-only --full-grid-only,python code\run_true_nearfield_gate.py --required-only --candidate full_grid_162,python code\compare_true_nearfield_exports.py --true-nearfield data/cst_exports/level1_true_nearfield/L1_halfwave_dipole_z_1p2G_true_nearfield.csv --reference-nearfield data/cst_exports/level1/L1_halfwave_dipole_z_1p2G_nearfield.csv --out-dir data\cst_true_nearfield_workpack\comparison\L1_halfwave_dipole_z_1p2G\full_grid_162
