prior_id,surface_path,model_variant,field_model,approximation,include_magnetic,magnetic_sign,weight_mode,candidate,candidate_method,lambda_reg,smooth_lambda,smoothness_neighbor_count,smoothness_rows,surface_nodes,unknown_count,sensor_count,mean_correlation,min_correlation,mean_nmse,max_nmse,mean_main_lobe_error_deg,max_main_lobe_error_deg,mean_relative_residual,max_relative_residual,mean_smoothness_relative_jump,max_smoothness_relative_jump,mean_active_nodes,mean_top10_node_energy_share,mean_stable_condition,status
level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,huygens_current_green_minus,current_green,electric_magnetic_current_green,1,-1.0,sqrt_area,full_grid_162,full_grid,0.01,0.0001,6,1216,96,384,162,0.7953601202355574,0.7775450457746856,0.2575462030812003,0.26240687807362645,98.9269297131261,162.64448379538726,0.6265209444524855,0.6311293972638171,2.36731490349099,2.370891690437813,96.0,0.2953663161270618,2814586879.732665,diagnostic_only
level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,huygens_current_green_plus,current_green,electric_magnetic_current_green,1,1.0,sqrt_area,full_grid_162,full_grid,0.01,0.0001,6,1216,96,384,162,0.7953601202355574,0.7775450457746856,0.2575462030812003,0.26240687807362645,98.9269297131261,162.64448379538726,0.6265209444524855,0.6311293972638171,2.36731490349099,2.370891690437813,96.0,0.2953663161270618,2814586879.732665,diagnostic_only
level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,electric_sheet_only,radiating_dipole,electric_radiating_dipole,0,0.0,sqrt_area,full_grid_162,full_grid,0.0001,1e-06,6,608,96,192,162,0.7438006996092771,0.72694059160067,0.4898852445782118,0.5099465976215495,113.87877133303104,133.26403324996693,0.5088750647459885,0.5160418949897002,2.2747445283253684,2.2800728433530546,96.0,0.18640150807952238,244.70277170452442,diagnostic_only
level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,electric_current_green,current_green,electric_current_green,0,0.0,sqrt_area,full_grid_162,full_grid,0.0001,1e-06,6,608,96,192,162,0.7437733748010784,0.7269334913234221,0.48959709436247334,0.5096470368014656,113.87877133303104,133.26403324996693,0.5093784662184959,0.5165462777697717,2.274607393848747,2.279900768856152,96.0,0.18626845229923866,244.79421535285175,diagnostic_only
level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,electric_sheet_only,radiating_dipole,electric_radiating_dipole,0,0.0,sqrt_area,full_grid_162,full_grid,0.0001,0.0,6,608,96,192,162,0.7431272520587644,0.7262778577515256,0.5000337550829805,0.5201910827909305,113.87877133303104,133.26403324996693,0.5072891049027113,0.5144913181966261,2.2802987760740407,2.2855634913739964,96.0,0.1859248689754992,244.70277170452442,diagnostic_only
level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,electric_current_green,current_green,electric_current_green,0,0.0,sqrt_area,full_grid_162,full_grid,0.0001,0.0,6,608,96,192,162,0.7430809495694353,0.7262532404577438,0.49978868913509267,0.5199332726992485,113.87877133303104,133.26403324996693,0.5077921702252016,0.5149955577360332,2.280157671482704,2.2853877701782164,96.0,0.18579125792292647,244.79421535285175,diagnostic_only
level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,huygens_em_minus,radiating_dipole,electric_magnetic_radiating_dipole,1,-1.0,sqrt_area,full_grid_162,full_grid,0.0001,0.0001,6,1216,96,384,162,0.7382352073218719,0.7188028245269004,0.4100819435976385,0.4166609925722692,84.86413364641348,149.74057587189333,0.36870586429011715,0.3784179301991678,1.8974833828300528,1.9157453380558402,96.0,0.3074213655879964,2813345600.4822025,diagnostic_only
level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,huygens_em_plus,radiating_dipole,electric_magnetic_radiating_dipole,1,1.0,sqrt_area,full_grid_162,full_grid,0.0001,0.0001,6,1216,96,384,162,0.7382352073218719,0.7188028245269004,0.4100819435976385,0.4166609925722692,84.86413364641348,149.74057587189333,0.36870586429011715,0.3784179301991678,1.8974833828300528,1.9157453380558402,96.0,0.3074213655879964,2813345600.4822025,diagnostic_only
level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,huygens_current_green_minus,current_green,electric_magnetic_current_green,1,-1.0,sqrt_area,full_grid_162,full_grid,0.0001,0.0001,6,1216,96,384,162,0.7382088330290077,0.718789498028987,0.4100085934874774,0.41659834504483884,84.86413364641348,149.74057587189333,0.36895629200988006,0.3786723866933556,1.897165568288222,1.9154188396391214,96.0,0.30733306268755184,2814586879.732665,diagnostic_only
level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,huygens_current_green_plus,current_green,electric_magnetic_current_green,1,1.0,sqrt_area,full_grid_162,full_grid,0.0001,0.0001,6,1216,96,384,162,0.7382088330290077,0.718789498028987,0.4100085934874774,0.41659834504483884,84.86413364641348,149.74057587189333,0.36895629200988006,0.3786723866933556,1.897165568288222,1.9154188396391214,96.0,0.30733306268755184,2814586879.732665,diagnostic_only
