sample_id,frequency_hz,candidate,model_variant,lambda_reg,smooth_lambda,weight_mode,prior_id,node_index,x_m,y_m,z_m,normal_x,normal_y,normal_z,weight_m2,J_t1_real,J_t1_imag,J_t2_real,J_t2_imag,M_t1_real,M_t1_imag,M_t2_real,M_t2_imag,node_coeff_norm
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,huygens_em_minus,0.01,0.0,sqrt_area,level1_local_sphere_r0p35,0,0.0503864191289565,0.0,4.346354166666667,0.1439611975113045,0.0,0.9895833333333334,0.0160352125026979,-4.0027383389304056e-05,1.218155083188412e-05,0.00029790890571161253,-0.0009565805997544528,0.0023174110109588247,-0.0005988568987683894,-1.9075736594560997e-07,9.504368220285503e-07,0.0025951052117717237
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,huygens_em_minus,0.01,0.0,sqrt_area,level1_local_sphere_r0p35,1,-0.0640137315534261,0.0586418218198913,4.3390625,-0.1828963758669319,0.1675480623425468,0.96875,0.0160352125026979,-0.0003591376669226915,0.00044277257155454574,-0.00026042486431600807,0.0004525307005101843,-0.0017760391243442433,0.00039322345457317424,0.001585636576632649,-0.00039604142549298316,0.0025646957673516944
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,huygens_em_minus,0.01,0.0,sqrt_area,level1_local_sphere_r0p35,2,0.0097463467372366,-0.1110545941174119,4.331770833333334,0.0278467049635333,-0.3172988403354628,0.9479166666666666,0.0160352125026979,0.0005027484235601801,-3.922989999903248e-05,0.0001330132116506752,-6.453385709617932e-06,-0.00011211572152622186,-5.3920463007575014e-05,-0.0015832800336118829,0.0003951154859048536,0.0017176723746067221
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,huygens_em_minus,0.01,0.0,sqrt_area,level1_local_sphere_r0p35,3,0.079826785298584,0.1041199056290357,4.324479166666666,0.2280765294245257,0.2974854446543879,0.9270833333333334,0.0160352125026979,-0.00043286652875586403,-0.0003594284440485448,0.00032532775642389535,0.00032535046720768836,0.00016317562059727577,-0.00016308665134031556,0.0006880065532422323,-0.00020065689189432116,0.0010464669408500325
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,huygens_em_minus,0.01,0.0,sqrt_area,level1_local_sphere_r0p35,4,-0.1456979685085301,-0.0257719191415258,4.3171875,-0.416279910024372,-0.0736340546900738,0.90625,0.0160352125026979,2.0783237593769604e-05,0.00014716348594644846,-0.00041623621211737586,-0.000829205104189733,0.0003731273100337627,6.448184325076795e-05,-0.00017930031415287537,1.100211879229466e-06,0.0010288121472729918
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,huygens_em_minus,0.01,0.0,sqrt_area,level1_local_sphere_r0p35,5,0.1372615669808204,-0.0873145733117251,4.309895833333333,0.392175905659487,-0.2494702094620719,0.8854166666666666,0.0160352125026979,-2.8175194095672196e-05,3.43419437280321e-05,-0.00038232860126222965,-0.0009549863397355833,0.000604480255280109,3.532591098977028e-05,0.00013128100323618554,2.7916805205896136e-05,0.0012020006771713625
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,huygens_em_minus,0.01,0.0,sqrt_area,level1_local_sphere_r0p35,6,-0.0456569496532209,0.1698415769602233,4.302604166666667,-0.1304484275806313,0.485261648457781,0.8645833333333334,0.0160352125026979,2.026455570289598e-05,0.00012059926363968163,-0.0002638119653601153,-0.0009813048719630633,0.001198595198552857,-7.378449438556257e-05,0.00028919874586728466,3.260007897649866e-05,0.0016044575783672375
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,huygens_em_minus,0.01,0.0,sqrt_area,level1_local_sphere_r0p35,7,-0.0865849481679659,-0.1667140488816123,4.2953125,-0.2473855661941884,-0.4763258539474639,0.84375,0.0160352125026979,5.0661643023737984e-05,-8.635317886550038e-06,-0.00012037676716249069,-0.0007973154019631988,0.0014528535409120405,-0.00016574031688791169,0.00013630207683757882,1.5929634795794058e-05,0.0016762842421459494
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,huygens_em_minus,0.01,0.0,sqrt_area,level1_local_sphere_r0p35,8,0.1867903625865198,0.0682155408302879,4.288020833333333,0.5336867502471996,0.194901545229394,0.8229166666666666,0.0160352125026979,7.355634166812772e-05,1.457017314449011e-05,-9.709514498048346e-05,-0.0006258913370036932,0.0012106383386652681,-0.00024697185515594293,-2.484419150750359e-05,-2.3302830030341173e-05,0.001390895682028154
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,huygens_em_minus,0.01,0.0,sqrt_area,level1_local_sphere_r0p35,9,-0.1932106319572427,0.0797545401925291,4.280729166666666,-0.5520303770206937,0.2278701148357977,0.8020833333333334,0.0160352125026979,4.083235703481017e-05,-3.7742455359485747e-05,-3.86776017488879e-05,-0.0003076870741275081,0.0011028993749602157,-0.00021359769509012881,-0.00016644512057901616,-3.8072920234552944e-05,0.0011791622444918143
