sample_id,priority,source_config,source_type,orientation_axis,frequency_hz,frequency_label,carrier_model,working_state,cst_project,nearfield_monitor,farfield_monitor,nearfield_export,farfield_export,phase_format_nearfield_export,phase_format_farfield_export,expected_nearfield_rows,expected_farfield_rows,status
L1_short_dipole_z_1p2G,required,short_dipole_z,short_dipole,z,1200000000,1200MHz,level1_standard_source,single_source_on,CST_L1_short_dipole_z_1p2G.cst,nearfield_hemisphere_1200MHz,farfield_1200MHz,data/cst_exports/level1/L1_short_dipole_z_1p2G_nearfield.csv,data/cst_exports/level1/L1_short_dipole_z_1p2G_farfield.csv,data/cst_exports/level1/L1_short_dipole_z_1p2G_nearfield_phase.csv,data/cst_exports/level1/L1_short_dipole_z_1p2G_farfield_phase.csv,486,2664,planned
L1_halfwave_dipole_z_1p2G,required,halfwave_dipole_z,halfwave_dipole,z,1200000000,1200MHz,level1_standard_source,single_source_on,CST_L1_halfwave_dipole_z_1p2G.cst,nearfield_hemisphere_1200MHz,farfield_1200MHz,data/cst_exports/level1/L1_halfwave_dipole_z_1p2G_nearfield.csv,data/cst_exports/level1/L1_halfwave_dipole_z_1p2G_farfield.csv,data/cst_exports/level1/L1_halfwave_dipole_z_1p2G_nearfield_phase.csv,data/cst_exports/level1/L1_halfwave_dipole_z_1p2G_farfield_phase.csv,486,2664,planned
L1_short_dipole_x_1p2G,recommended,short_dipole_x,short_dipole,x,1200000000,1200MHz,level1_standard_source,single_source_on,CST_L1_short_dipole_x_1p2G.cst,nearfield_hemisphere_1200MHz,farfield_1200MHz,data/cst_exports/level1/L1_short_dipole_x_1p2G_nearfield.csv,data/cst_exports/level1/L1_short_dipole_x_1p2G_farfield.csv,data/cst_exports/level1/L1_short_dipole_x_1p2G_nearfield_phase.csv,data/cst_exports/level1/L1_short_dipole_x_1p2G_farfield_phase.csv,486,2664,planned
L1_short_dipole_y_1p2G,recommended,short_dipole_y,short_dipole,y,1200000000,1200MHz,level1_standard_source,single_source_on,CST_L1_short_dipole_y_1p2G.cst,nearfield_hemisphere_1200MHz,farfield_1200MHz,data/cst_exports/level1/L1_short_dipole_y_1p2G_nearfield.csv,data/cst_exports/level1/L1_short_dipole_y_1p2G_farfield.csv,data/cst_exports/level1/L1_short_dipole_y_1p2G_nearfield_phase.csv,data/cst_exports/level1/L1_short_dipole_y_1p2G_farfield_phase.csv,486,2664,planned
L1_halfwave_dipole_x_1p2G,optional,halfwave_dipole_x,halfwave_dipole,x,1200000000,1200MHz,level1_standard_source,single_source_on,CST_L1_halfwave_dipole_x_1p2G.cst,nearfield_hemisphere_1200MHz,farfield_1200MHz,data/cst_exports/level1/L1_halfwave_dipole_x_1p2G_nearfield.csv,data/cst_exports/level1/L1_halfwave_dipole_x_1p2G_farfield.csv,data/cst_exports/level1/L1_halfwave_dipole_x_1p2G_nearfield_phase.csv,data/cst_exports/level1/L1_halfwave_dipole_x_1p2G_farfield_phase.csv,486,2664,planned
L1_halfwave_dipole_y_1p2G,optional,halfwave_dipole_y,halfwave_dipole,y,1200000000,1200MHz,level1_standard_source,single_source_on,CST_L1_halfwave_dipole_y_1p2G.cst,nearfield_hemisphere_1200MHz,farfield_1200MHz,data/cst_exports/level1/L1_halfwave_dipole_y_1p2G_nearfield.csv,data/cst_exports/level1/L1_halfwave_dipole_y_1p2G_farfield.csv,data/cst_exports/level1/L1_halfwave_dipole_y_1p2G_nearfield_phase.csv,data/cst_exports/level1/L1_halfwave_dipole_y_1p2G_farfield_phase.csv,486,2664,planned
