sample_id,frequency_hz,candidate,method,sensor_count,measurement_channels,equivalent_source_points,unknown_count,channel_unknown_ratio,lambda_reg,effective_rank,rank_ratio,stable_condition,nmse,correlation,main_lobe_error_deg,peak_error_db,model_id,note,nx,ny,nz,x_min,x_max,y_min,y_max,z_min,z_max,grid_points
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,9,27,12.0,0.001,27,1.0,1.8086416863020194,0.6367555989795455,0.28291320237887774,40.611110999999994,13.03904042295457,xy_plane_3x3,Lateral uncertainty at the known Level 1 height.,3,3,1,-0.25,0.25,-0.25,0.25,4.0,4.0,9
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,9,27,12.0,0.0001,27,1.0,1.8086416863020194,0.668913595080607,0.27424017958525737,52.62060834378802,14.477041649234915,xy_plane_3x3,Lateral uncertainty at the known Level 1 height.,3,3,1,-0.25,0.25,-0.25,0.25,4.0,4.0,9
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,9,27,12.0,0.0001,27,1.0,1.8086416863020194,0.6369470836085456,0.28272382667773427,40.611110999999994,13.052697860919675,xy_plane_3x3,Lateral uncertainty at the known Level 1 height.,3,3,1,-0.25,0.25,-0.25,0.25,4.0,4.0,9
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,9,27,12.0,1e-05,27,1.0,1.8086416863020194,0.6689294715249918,0.2742256834171445,52.62060834378802,14.478403909477127,xy_plane_3x3,Lateral uncertainty at the known Level 1 height.,3,3,1,-0.25,0.25,-0.25,0.25,4.0,4.0,9
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,9,27,12.0,1e-05,27,1.0,1.8086416863020194,0.636966249935858,0.28270487095750574,40.611110999999994,13.054064807333688,xy_plane_3x3,Lateral uncertainty at the known Level 1 height.,3,3,1,-0.25,0.25,-0.25,0.25,4.0,4.0,9
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,27,81,4.0,0.01,81,1.0,1900.925247575812,0.3321126167010615,0.4929339009714416,84.96684532835818,16.028335946432883,compact_cube_3x3x3,Compact local uncertainty volume around the Level 1 source.,3,3,3,-0.1,0.1,-0.1,0.1,3.9,4.1,27
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,27,81,4.0,0.01,81,1.0,1900.925247575812,0.31204108581419415,0.5566013192507658,58.37395082131008,14.804022295677603,compact_cube_3x3x3,Compact local uncertainty volume around the Level 1 source.,3,3,3,-0.1,0.1,-0.1,0.1,3.9,4.1,27
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,27,81,4.0,0.001,81,1.0,1900.925247575812,0.28457212452240216,0.7066410712584406,49.970421136125076,17.646428226719223,compact_cube_3x3x3,Compact local uncertainty volume around the Level 1 source.,3,3,3,-0.1,0.1,-0.1,0.1,3.9,4.1,27
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,27,81,4.0,0.001,81,1.0,1900.925247575812,0.27907300224569315,0.7452764174907003,0.0,17.32238657799384,compact_cube_3x3x3,Compact local uncertainty volume around the Level 1 source.,3,3,3,-0.1,0.1,-0.1,0.1,3.9,4.1,27
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,27,81,4.0,0.0001,81,1.0,1900.925247575812,0.3459378029670175,0.7521781623973831,39.9745936890198,19.261909758175925,compact_cube_3x3x3,Compact local uncertainty volume around the Level 1 source.,3,3,3,-0.1,0.1,-0.1,0.1,3.9,4.1,27
