sample_id,frequency_hz,variant,variant_family,impedance_ohm,impedance_factor_to_eta0,calibration_mode,hfield_j_scale,uses_real_hfield,model_note,sensor_count,farfield_points,farfield_shape,electric_current_l2,magnetic_current_l2,predicted_peak_power,reference_peak_power,best_power_scale,scaled_power_nmse,nmse,correlation,main_lobe_error_deg,peak_error_db,main_lobe_region_threshold,reference_lobe_region_points,predicted_lobe_region_points,main_lobe_region_jaccard,reference_lobe_region_capture,predicted_lobe_region_precision,main_lobe_region_min_capture,true_peak_to_pred_region_error_deg,pred_peak_to_true_region_error_deg,main_lobe_region_error_deg,status
L1_short_dipole_x_1p2G,1200000000.0,hfield_electric_only,hfield_electric_only,376.730313668,1.0,real_hfield_only,1.0,True,"J=n_cross_H_t from real CST H-field, M=0",32,2664,37x72,9.207069855249389e-05,0.0,2.8266254176818857e-11,3.9429401543613114e-08,2917.3000797304157,0.43929103419952287,0.5919831695562152,0.06256138238148667,43.783133979681615,-31.445519255176478,0.75,1678,36,0.005868544600938967,0.00538189057574967,0.27486356344390167,0.00538189057574967,32.37640412132723,8.537736462515939e-07,32.37640412132723,diagnostic_only
L1_short_dipole_x_1p2G,1200000000.0,electric_only_outgoing,electric_only_outgoing,376.730313668,1.0,fixed_eta0,,False,"J=-E_t/eta_eff, eta_eff=376.73 ohm, M=0",32,2664,37x72,9.064549822482682e-05,0.0,2.7612719665347138e-11,3.9429401543613114e-08,3053.520932505899,0.4354466562138998,0.5954461258093553,0.05501435029570762,43.783133979681615,-31.547110016326553,0.75,1678,28,0.004711425206124852,0.004292758186152185,0.29201302084519065,0.004292758186152185,38.85429238123833,8.537736462515939e-07,38.85429238123833,diagnostic_only
L1_short_dipole_x_1p2G,1200000000.0,eh_love_equivalence_minus_j96,eh_love_equivalence_minus,376.730313668,1.0,real_eh_j_scale_scan,96.0,True,"J=96*(n_cross_H_t) from real CST H-field, M contribution sign flipped for convention check",32,2664,37x72,0.008838787061039412,0.03414890697883127,8.704569716942568e-06,3.9429401543613114e-08,0.009768177204068028,0.43665585253014066,0.5986692388428743,-0.2716907566640845,94.82867342934242,23.439271225652007,0.75,1678,28,0.0011737089201877935,0.000963412192634267,0.06600143577037518,0.000963412192634267,69.90719333154088,53.82146798513548,69.90719333154088,diagnostic_only
L1_short_dipole_x_1p2G,1200000000.0,outgoing_equivalence_minus,outgoing_equivalence_minus,376.730313668,1.0,fixed_eta0,,False,"J=-E_t/eta_eff, eta_eff=376.73 ohm, M sign flipped",32,2664,37x72,9.064549822482682e-05,0.03414890697883127,8.87487469742857e-06,3.9429401543613114e-08,0.009774855409330221,0.4685515843924231,0.6266864936213649,-0.30488497671269116,94.82867342934242,23.523420446185366,0.75,1678,23,0.000588235294117647,0.00048078991377174086,0.03842561427480178,0.00048078991377174086,69.93986067751892,53.82146798513548,69.93986067751892,diagnostic_only
L1_short_dipole_x_1p2G,1200000000.0,eh_love_equivalence_minus,eh_love_equivalence_minus,376.730313668,1.0,real_eh_surface_currents,1.0,True,"J=1*(n_cross_H_t) from real CST H-field, M contribution sign flipped for convention check",32,2664,37x72,9.207069855249389e-05,0.03414890697883127,8.874803172138105e-06,3.9429401543613114e-08,0.009774830643271577,0.46855629508062663,0.626687011126744,-0.3049123109844237,94.82867342934242,23.523385444942875,0.75,1678,23,0.000588235294117647,0.00048078991377174086,0.03842100491315418,0.00048078991377174086,69.93986067751892,53.82146798513548,69.93986067751892,diagnostic_only
L1_short_dipole_x_1p2G,1200000000.0,magnetic_only_plus,magnetic_only_plus,376.730313668,1.0,not_used,,False,"J=0, M=-n_cross_E_t; eta_eff not used",32,2664,37x72,0.0,0.03414890697883127,8.876678409948067e-06,3.9429401543613114e-08,0.009771323012311865,0.4689064173933203,0.6268940757893703,-0.30510342299128845,94.82867342934242,23.52430300828246,0.75,1678,23,0.000588235294117647,0.00048078991377174086,0.038411718344155694,0.00048078991377174086,69.93986067751892,53.82146798513548,69.93986067751892,diagnostic_only
L1_short_dipole_x_1p2G,1200000000.0,magnetic_only_minus,magnetic_only_minus,376.730313668,1.0,not_used,,False,"J=0, M sign flipped; eta_eff not used",32,2664,37x72,0.0,0.03414890697883127,8.876678409948067e-06,3.9429401543613114e-08,0.009771323012311865,0.4689064173933203,0.6268940757893703,-0.30510342299128845,94.82867342934242,23.52430300828246,0.75,1678,23,0.000588235294117647,0.00048078991377174086,0.038411718344155694,0.00048078991377174086,69.93986067751892,53.82146798513548,69.93986067751892,diagnostic_only
L1_short_dipole_x_1p2G,1200000000.0,eh_love_equivalence_plus,eh_love_equivalence_plus,376.730313668,1.0,real_eh_surface_currents,1.0,True,"J=1*(n_cross_H_t) from real CST H-field, M=-n_cross_E_t from real CST E-field",32,2664,37x72,9.207069855249389e-05,0.03414890697883127,8.878555383314332e-06,3.9429401543613114e-08,0.009767745018728636,0.46925649372636496,0.627099268346012,-0.3052912421021259,94.82867342934242,23.525221226750517,0.75,1678,21,0.0005889281507656066,0.00048078991377174086,0.04159384525213988,0.00048078991377174086,70.00887489945606,53.82146798513548,70.00887489945606,diagnostic_only
L1_short_dipole_x_1p2G,1200000000.0,outgoing_equivalence_plus,outgoing_equivalence_plus,376.730313668,1.0,fixed_eta0,,False,"J=-E_t/eta_eff, eta_eff=376.73 ohm, M=-n_cross_E_t",32,2664,37x72,9.064549822482682e-05,0.03414890697883127,8.878483935426002e-06,3.9429401543613114e-08,0.009767722690665042,0.4692612115972361,0.6270998635657223,-0.305318729195062,94.82867342934242,23.525186277879722,0.75,1678,21,0.0005889281507656066,0.00048078991377174086,0.04158897310850183,0.00048078991377174086,70.00887489945606,53.82146798513548,70.00887489945606,diagnostic_only
L1_short_dipole_x_1p2G,1200000000.0,eh_love_equivalence_plus_j96,eh_love_equivalence_plus,376.730313668,1.0,real_eh_j_scale_scan,96.0,True,"J=96*(n_cross_H_t) from real CST H-field, M=-n_cross_E_t from real CST E-field",32,2664,37x72,0.008838787061039412,0.03414890697883127,9.10890338950142e-06,3.9429401543613114e-08,0.009147512773102941,0.50076693802172,0.6393095915073638,-0.30932219755416807,94.92384763826833,23.636459104667967,0.75,1678,19,0.0,0.0,0.0,0.0,74.8754734454773,54.95519650363919,74.8754734454773,diagnostic_only
