class_label,sample_count,source_count_min,source_count_max,variant_indices,frequencies_hz
comm_pair,12,2,2,0;1;2;3;4;5;6;7;8;9;10;11,900000000;1050000000;1200000000;1350000000;1500000000
radar_top,12,2,2,0;1;2;3;4;5;6;7;8;9;10;11,900000000;1050000000;1200000000;1350000000;1500000000
mixed_avionics,12,3,3,0;1;2;3;4;5;6;7;8;9;10;11,900000000;1050000000;1200000000;1350000000;1500000000
multi_state_on,12,3,3,0;1;2;3;4;5;6;7;8;9;10;11,900000000;1050000000;1200000000;1350000000;1500000000
