sample_id,case_priority,candidate,target_export_path,expected_export_rows,target_export_exists,dropzone_status,dropzone_errors,gate_status,gate_source_status,gate_row_count,gate_comparison_status
L1_halfwave_dipole_z_1p2G,required,full_grid_162,data\cst_exports\level1_true_nearfield\L1_halfwave_dipole_z_1p2G_true_nearfield.csv,486,False,missing_file,file is missing,pending_source,missing_candidate_export,0,not_run
L1_short_dipole_z_1p2G,required,full_grid_162,data\cst_exports\level1_true_nearfield\L1_short_dipole_z_1p2G_true_nearfield.csv,486,False,missing_file,file is missing,pending_source,missing_candidate_export,0,not_run
